"Code_UAI","Code_INSEE","Code_EPCI","Nom_EPCI","Nom_Ecole","Type_Patrimoine","Proprietaire_FFO_Forme","Proprietaire_FFO_Denomination","Commune","Surface_M2","Annee_Construction","Statut_DPE","Annee_DPE","Classe_DPE","Conso_Annuelle_kWh","Conso_Specifique_kWh_M2","Facture_Annuelle_Euros","Economie_Annuelle_Euros","Economie_Realiste_Euros","Economie_Plancher_66pct_Euros","Modele_Financement","CAPEX_Total","CAPEX_HT_Euros","Subventions_Etat_Euros","Subventions_Pessimiste_Euros","Subventions_Optimiste_Euros","Subventions_Fourchette_Label","CEE_Euros","Part_Fonds_Euros","Part_Fonds_Pessimiste_Euros","Part_Fonds_Optimiste_Euros","Pack_CAPEX_Total","Pack_Gain_Net_Pessimiste_Total","Financement_Statut","Statut_Projet_EPCI","Package_ID","Argumentaire_Loi_ELAN","Argumentaire_MGPE_PD","MGPE_Loyer_Lt_Euros","MGPE_Redevance_Ft_Euros","MGPE_Part_Services_St_Euros","MGPE_Duree_Contrat_Ans","Gain_Net_Contractuel_Euros","Gain_Net_Annuel_Mairie_Euros","Gain_Net_Pessimiste_Euros","Gain_Net_Optimiste_Euros","Gain_Net_Fourchette_Label","Gain_Net_Plancher_66pct_Euros","Fonds_ROI_Annees","Fonds_ROI_Pessimiste_Annees","Fonds_ROI_Optimiste_Annees","Fonds_ROI_Fourchette_Label","Taux_Subvention_Pessimiste_Pct","Taux_Eco_Realiste_Pessimiste_Pct","Ratio_PAC_W_M2","Alerte_Surdimensionnement","Alerte_Surdimensionnement_Note","Score_Eligibilite_Closing","Closing_Temperature","Alerte_Financement","Email_Mairie","Artisan_Nom","Artisan_Distance_KM","Artisan_Email","Artisan_Tranche_Effectif","Artisan_Effectif_Label","Artisan_Effectif_Min","Type_Travaux","Puissance_PAC_kW","Ouvriers_Requis","Duree_Estimee_Semaines","Periode_Ideale_Chantier","Latitude","Longitude"
"0730819U","73248","200070464","200070464","Ecole maternelle Les Chaudannes","Enseignement","ETAT","MINISTERE DE L'EDUCATION NATIONALE","Saint-Jean-de-Maurienne","3549","1970","E (350 kWh/m²/an)","2019","E","1242150","350","275633","124035","86825",,"fourchette","638820","532350","287469","287469","425880","287 469 € à 425 880 €","3066","348285","348285","209874","884160","31635","FINANÇABLE_SOLO","SOUS_SEUIL_A_CREUSER","SOLO","En tant que propriétaire du groupe scolaire Ecole maternelle Les Chaudannes, votre collectivité est soumise aux obligations de l'article L. 111-10-3 du Code de la construction et de l'habitation (loi ELAN) et au Décret Tertiaire (objectif −40 % en 2030 pour les bâtiments ≥ 1 000 m²). Sans action d'ici 2030, le bâtiment de 3549 m² s'expose aux sanctions administratives et au dispositif de « Name & Shame ». Le montage MGPE-PD (Loi 2023-222) permet un paiement différé lissé sur la performance réelle, compatible avec DETR, DSIL et Fonds Vert ÉduRénov.","Pour Saint-Jean-de-Maurienne (73), le montage MGPE-PD (Loi n° 2023-222 du 30 mars 2023 / Décret n° 2023-913 du 3 octobre 2023) permet de lancer la rénovation de 1 école (3549 m²) sans immobiliser la capacité d'autofinancement : le tiers-financeur porte le CAPEX hors subventions, remboursé par un loyer lissé sur 12 ans (ordre de grandeur 53 081 €/an). Objectif GPE : −45 % d'énergie finale (compatible DETR ≥ 30 % et Fonds Vert ≥ 40 %). La maîtrise d'ouvrage reste publique ; le contrat intègre PMRV (IPMVP), pénalités de sous-performance et réversibilité des équipements. Subventions attendues (fourchette) : 287 469 € à 425 880 €. Gain net annuel mairie (fourchette) : 30 443 € à 54 692 €/an. ROI part fonds (fourchette) : 3.8 à 11.4 ans.","56382","40411","15971","12","67653","30443","30443","54692","30 443 € à 54 692 €/an","25481","11.4","11.4","3.8","3.8 à 11.4 ans","45","70","80","true","PAC surdimensionnée pour bâtiment isolé (ITE) : 80 W/m² > 60 W/m² — revoir la note de dimensionnement CVC et le débit nominal","93","🔥 Chaud","PAC surdimensionnée pour bâtiment isolé (ITE) : 80 W/m² > 60 W/m² — revoir la note de dimensionnement CVC et le débit nominal","mairie@saintjeandemaurienne.fr","YVROUD","1.2","contact@yvroud.com","21","50 à 99 salariés","50","Rénovation Lourde","284","24","6","Été 2026 + Automne 2026","45.27307304855567","6.359160215957769"
"0730958V","73179","200069110","200069110","Ecole maternelle Lamartine","Enseignement","ETAT","MINISTERE DE L'EDUCATION NATIONALE","La Motte-Servolex","2389","1972","D (184 kWh/m²/an)","2014","D","439576","184","97542","43894","30726",,"fourchette","430020","358350","193509","193509","286680","193 509 € à 286 680 €","2064","234447","234447","141276","1587420","-1077","À_REGROUPER","PROJET_GLOBAL_VALIDE","EPCI-200069110","En tant que propriétaire du groupe scolaire Ecole maternelle Lamartine, votre collectivité est soumise aux obligations de l'article L. 111-10-3 du Code de la construction et de l'habitation (loi ELAN) et au Décret Tertiaire (objectif −40 % en 2030 pour les bâtiments ≥ 1 000 m²). Sans action d'ici 2030, le bâtiment de 2389 m² s'expose aux sanctions administratives et au dispositif de « Name & Shame ». Le montage MGPE-PD (Loi 2023-222) permet un paiement différé lissé sur la performance réelle, compatible avec DETR, DSIL et Fonds Vert ÉduRénov.","Pour La Motte-Servolex (73), le montage MGPE-PD (Loi n° 2023-222 du 30 mars 2023 / Décret n° 2023-913 du 3 octobre 2023) permet de lancer la rénovation de 1 école (2389 m²) sans immobiliser la capacité d'autofinancement : le tiers-financeur porte le CAPEX hors subventions, remboursé par un loyer lissé sur 12 ans (ordre de grandeur 35 731 €/an). Objectif GPE : −45 % d'énergie finale (compatible DETR ≥ 30 % et Fonds Vert ≥ 40 %). La maîtrise d'ouvrage reste publique ; le contrat intègre PMRV (IPMVP), pénalités de sous-performance et réversibilité des équipements. Subventions attendues (fourchette) : 193 509 € à 286 680 €. Gain net annuel mairie (fourchette) : -7 228 € à 7 117 €/an. ROI part fonds (fourchette) : — à 19.9 ans.","37954","27203","10751","12","5940","-7228","-7228","7117","-7 228 € à 7 117 €/an","-8984",,,"19.9","— à 19.9 ans","45","70","79.9","true","PAC surdimensionnée pour bâtiment isolé (ITE) : 79.9 W/m² > 60 W/m² — revoir la note de dimensionnement CVC et le débit nominal","56","⚡ Tiède","Risque sous-performance IPMVP : gain net mairie ≤ 0 au plancher 66 % (vérifier Lt et objectifs GPE) | PAC surdimensionnée pour bâtiment isolé (ITE) : 79.9 W/m² > 60 W/m² — revoir la note de dimensionnement CVC et le débit nominal","ville@mairie-lamotteservolex.fr","RAVOIRE SCOP","1.8","v.buy@ravoire.com","12","20 à 49 salariés","20","Rénovation Lourde","191","12","9","Été 2026 + Automne 2026","45.597995158074895","5.8712705599639605"
"0731050V","73054","247300254","247300254","Ecole maternelle Petit prince","Enseignement","ETAT","MINISTERE DE L'EDUCATION NATIONALE","Bourg-Saint-Maurice","1481","0","D (229 kWh/m²/an)","2021","D","339504","229.24","75336","33901","18646",,"fourchette","177720","148100","79974","79974","118480","79 974 € à 118 480 €","782","96964","96964","58458","355440","14669","PACK_FINANÇABLE_EPCI","SOUS_SEUIL_A_CREUSER","EPCI-247300254","En tant que propriétaire du groupe scolaire Ecole maternelle Petit prince, votre collectivité est soumise aux obligations de l'article L. 111-10-3 du Code de la construction et de l'habitation (loi ELAN) et au Décret Tertiaire (objectif −40 % en 2030 pour les bâtiments ≥ 1 000 m²). Sans action d'ici 2030, le bâtiment de 1481 m² s'expose aux sanctions administratives et au dispositif de « Name & Shame ». Le montage MGPE-PD (Loi 2023-222) permet un paiement différé lissé sur la performance réelle, compatible avec DETR, DSIL et Fonds Vert ÉduRénov.","Pour Bourg-Saint-Maurice (73), le montage MGPE-PD (Loi n° 2023-222 du 30 mars 2023 / Décret n° 2023-913 du 3 octobre 2023) permet de lancer la rénovation de 1 école (1481 m²) sans immobiliser la capacité d'autofinancement : le tiers-financeur porte le CAPEX hors subventions, remboursé par un loyer lissé sur 12 ans (ordre de grandeur 14 775 €/an). Objectif GPE : −45 % d'énergie finale (compatible DETR ≥ 30 % et Fonds Vert ≥ 40 %). La maîtrise d'ouvrage reste publique ; le contrat intègre PMRV (IPMVP), pénalités de sous-performance et réversibilité des équipements. Subventions attendues (fourchette) : 79 974 € à 118 480 €. Gain net annuel mairie (fourchette) : 2 952 € à 14 754 €/an. ROI part fonds (fourchette) : 4 à 32.8 ans.","15694","11251","4443","12","18207","2952","2952","14754","2 952 € à 14 754 €/an","6681","32.8","32.8","4","4 à 32.8 ans","45","55","79.7","false",,"46","❄ Froid",,"mairie@bourgsaintmaurice.fr","SANITHERM J. BLANC-TAILLEUR","24","contact@sanithermblanctailleur.com","12","20 à 49 salariés","20","Rénovation Moyenne","118","6","7","Été 2026 + Automne 2026","45.61137781519118","6.766800481237356"
"0731130G","73303","200068997","200068997","Ecole élémentaire André Pringolliet","Enseignement","ETAT","MINISTERE DE L'EDUCATION NATIONALE","Ugine","2240","1960","D (223 kWh/m²/an)","2021","D","500573","223.47","111077","49985","34990",,"fourchette","403200","336000","181440","181440","268800","181 440 € à 268 800 €","1935","219825","219825","132465","403200","-596","À_REGROUPER","SOUS_SEUIL_A_CREUSER","EPCI-200068997","En tant que propriétaire du groupe scolaire Ecole élémentaire André Pringolliet, votre collectivité est soumise aux obligations de l'article L. 111-10-3 du Code de la construction et de l'habitation (loi ELAN) et au Décret Tertiaire (objectif −40 % en 2030 pour les bâtiments ≥ 1 000 m²). Sans action d'ici 2030, le bâtiment de 2240 m² s'expose aux sanctions administratives et au dispositif de « Name & Shame ». Le montage MGPE-PD (Loi 2023-222) permet un paiement différé lissé sur la performance réelle, compatible avec DETR, DSIL et Fonds Vert ÉduRénov.","Pour Ugine (73), le montage MGPE-PD (Loi n° 2023-222 du 30 mars 2023 / Décret n° 2023-913 du 3 octobre 2023) permet de lancer la rénovation de 1 école (2240 m²) sans immobiliser la capacité d'autofinancement : le tiers-financeur porte le CAPEX hors subventions, remboursé par un loyer lissé sur 12 ans (ordre de grandeur 33 503 €/an). Objectif GPE : −45 % d'énergie finale (compatible DETR ≥ 30 % et Fonds Vert ≥ 40 %). La maîtrise d'ouvrage reste publique ; le contrat intègre PMRV (IPMVP), pénalités de sous-performance et réversibilité des équipements. Subventions attendues (fourchette) : 181 440 € à 268 800 €. Gain net annuel mairie (fourchette) : -596 € à 13 295 €/an. ROI part fonds (fourchette) : — à 10 ans.","35586","25506","10080","12","14399","-596","-596","13295","-596 € à 13 295 €/an","-2596",,,"10","— à 10 ans","45","70","79.9","true","PAC surdimensionnée pour bâtiment isolé (ITE) : 79.9 W/m² > 60 W/m² — revoir la note de dimensionnement CVC et le débit nominal","57","⚡ Tiède","Risque sous-performance IPMVP : gain net mairie ≤ 0 au plancher 66 % (vérifier Lt et objectifs GPE) | PAC surdimensionnée pour bâtiment isolé (ITE) : 79.9 W/m² > 60 W/m² — revoir la note de dimensionnement CVC et le débit nominal","mairie@ugine.com","ROSSET SARL","1.6","contact@rosset-ugine.fr","12","20 à 49 salariés","20","Rénovation Lourde","179","12","8","Été 2026 + Automne 2026","45.749165102251446","6.416699953824827"
"0731072U","73248","200070464","200070464","Ecole maternelle Les Clapeys","Enseignement","ETAT","MINISTERE DE L'EDUCATION NATIONALE","Saint-Jean-de-Maurienne","1363","1960","D (240 kWh/m²/an)","2018","D","326847","239.8","72527","32637","22846",,"fourchette","245340","204450","110403","110403","163560","110 403 € à 163 560 €","1178","133759","133759","80602","884160","31635","PACK_FINANÇABLE_EPCI","SOUS_SEUIL_A_CREUSER","EPCI-200070464","En tant que propriétaire du groupe scolaire Ecole maternelle Les Clapeys, votre collectivité est soumise aux obligations de l'article L. 111-10-3 du Code de la construction et de l'habitation (loi ELAN) et au Décret Tertiaire (objectif −40 % en 2030 pour les bâtiments ≥ 1 000 m²). Sans action d'ici 2030, le bâtiment de 1363 m² s'expose aux sanctions administratives et au dispositif de « Name & Shame ». Le montage MGPE-PD (Loi 2023-222) permet un paiement différé lissé sur la performance réelle, compatible avec DETR, DSIL et Fonds Vert ÉduRénov.","Pour Saint-Jean-de-Maurienne (73), le montage MGPE-PD (Loi n° 2023-222 du 30 mars 2023 / Décret n° 2023-913 du 3 octobre 2023) permet de lancer la rénovation de 1 école (1363 m²) sans immobiliser la capacité d'autofinancement : le tiers-financeur porte le CAPEX hors subventions, remboursé par un loyer lissé sur 12 ans (ordre de grandeur 20 386 €/an). Objectif GPE : −45 % d'énergie finale (compatible DETR ≥ 30 % et Fonds Vert ≥ 40 %). La maîtrise d'ouvrage reste publique ; le contrat intègre PMRV (IPMVP), pénalités de sous-performance et réversibilité des équipements. Subventions attendues (fourchette) : 110 403 € à 163 560 €. Gain net annuel mairie (fourchette) : 1 192 € à 9 756 €/an. ROI part fonds (fourchette) : 8.3 à 112.2 ans.","21654","15520","6134","12","10983","1192","1192","9756","1 192 € à 9 756 €/an","-114","112.2","112.2","8.3","8.3 à 112.2 ans","45","70","80","true","PAC surdimensionnée pour bâtiment isolé (ITE) : 80 W/m² > 60 W/m² — revoir la note de dimensionnement CVC et le débit nominal","58","⚡ Tiède","Risque sous-performance IPMVP : gain net mairie ≤ 0 au plancher 66 % (vérifier Lt et objectifs GPE) | PAC surdimensionnée pour bâtiment isolé (ITE) : 80 W/m² > 60 W/m² — revoir la note de dimensionnement CVC et le débit nominal","mairie@saintjeandemaurienne.fr","YVROUD","2.4","contact@yvroud.com","21","50 à 99 salariés","50","Rénovation Lourde","109","6","10","Été 2026 + Automne 2026","45.272323703403885","6.342279414234805"
"0730818T","73029","200069110","200069110","Ecole maternelle de la Concorde","Enseignement","ETAT","MINISTERE DE L'EDUCATION NATIONALE","Barberaz","1711","1967","F (220 kWh/m²/an)","2020","F","376420","220","83528","37588","26312",,"fourchette","307980","256650","153990","153990","205320","153 990 € à 205 320 €","1478","152512","152512","101182","1587420","-1077","À_REGROUPER","PROJET_GLOBAL_VALIDE","EPCI-200069110","En tant que propriétaire du groupe scolaire Ecole maternelle de la Concorde, votre collectivité est soumise aux obligations de l'article L. 111-10-3 du Code de la construction et de l'habitation (loi ELAN) et au Décret Tertiaire (objectif −40 % en 2030 pour les bâtiments ≥ 1 000 m²). Sans action d'ici 2030, le bâtiment de 1711 m² s'expose aux sanctions administratives et au dispositif de « Name & Shame ». Le montage MGPE-PD (Loi 2023-222) permet un paiement différé lissé sur la performance réelle, compatible avec DETR, DSIL et Fonds Vert ÉduRénov.","Pour Barberaz (73), le montage MGPE-PD (Loi n° 2023-222 du 30 mars 2023 / Décret n° 2023-913 du 3 octobre 2023) permet de lancer la rénovation de 1 école (1711 m²) sans immobiliser la capacité d'autofinancement : le tiers-financeur porte le CAPEX hors subventions, remboursé par un loyer lissé sur 12 ans (ordre de grandeur 23 950 €/an). Objectif GPE : −45 % d'énergie finale (compatible DETR ≥ 30 % et Fonds Vert ≥ 40 %). La maîtrise d'ouvrage reste publique ; le contrat intègre PMRV (IPMVP), pénalités de sous-performance et réversibilité des équipements. Subventions attendues (fourchette) : 153 990 € à 205 320 €. Gain net annuel mairie (fourchette) : 916 € à 9 710 €/an. ROI part fonds (fourchette) : 10.4 à 166.5 ans.","25396","17696","7700","12","12192","916","916","9710","916 € à 9 710 €/an","-588","166.5","166.5","10.4","10.4 à 166.5 ans","50","70","80.1","true","PAC surdimensionnée pour bâtiment isolé (ITE) : 80.1 W/m² > 60 W/m² — revoir la note de dimensionnement CVC et le débit nominal","71","⚡ Tiède","Risque sous-performance IPMVP : gain net mairie ≤ 0 au plancher 66 % (vérifier Lt et objectifs GPE) | PAC surdimensionnée pour bâtiment isolé (ITE) : 80.1 W/m² > 60 W/m² — revoir la note de dimensionnement CVC et le débit nominal","mairie@barberaz.fr","ENGIE HOME SERVICES","1.3","fabienne.merite@engie.com","11","10 à 19 salariés","10","Rénovation Lourde","137","6","12","Été 2026 + Automne 2026","45.5676989114445","5.94911976730989"
"0730908R","73213","200069110","200069110","Ecole maternelle de la Féjaz","Enseignement","ETAT","MINISTERE DE L'EDUCATION NATIONALE","La Ravoire","1682","1972","G (220 kWh/m²/an)","2017","G","370040","220","82112","36950","25865",,"fourchette","302760","252300","151380","151380","201840","151 380 € à 201 840 €","1453","149927","149927","99467","1587420","-1077","À_REGROUPER","PROJET_GLOBAL_VALIDE","EPCI-200069110","En tant que propriétaire du groupe scolaire Ecole maternelle de la Féjaz, votre collectivité est soumise aux obligations de l'article L. 111-10-3 du Code de la construction et de l'habitation (loi ELAN) et au Décret Tertiaire (objectif −40 % en 2030 pour les bâtiments ≥ 1 000 m²). Sans action d'ici 2030, le bâtiment de 1682 m² s'expose aux sanctions administratives et au dispositif de « Name & Shame ». Le montage MGPE-PD (Loi 2023-222) permet un paiement différé lissé sur la performance réelle, compatible avec DETR, DSIL et Fonds Vert ÉduRénov.","Pour La Ravoire (73), le montage MGPE-PD (Loi n° 2023-222 du 30 mars 2023 / Décret n° 2023-913 du 3 octobre 2023) permet de lancer la rénovation de 1 école (1682 m²) sans immobiliser la capacité d'autofinancement : le tiers-financeur porte le CAPEX hors subventions, remboursé par un loyer lissé sur 12 ans (ordre de grandeur 23 544 €/an). Objectif GPE : −45 % d'énergie finale (compatible DETR ≥ 30 % et Fonds Vert ≥ 40 %). La maîtrise d'ouvrage reste publique ; le contrat intègre PMRV (IPMVP), pénalités de sous-performance et réversibilité des équipements. Subventions attendues (fourchette) : 151 380 € à 201 840 €. Gain net annuel mairie (fourchette) : 900 € à 9 546 €/an. ROI part fonds (fourchette) : 10.4 à 166.6 ans.","24965","17396","7569","12","11985","900","900","9546","900 € à 9 546 €/an","-578","166.6","166.6","10.4","10.4 à 166.6 ans","50","70","80.3","true","PAC surdimensionnée pour bâtiment isolé (ITE) : 80.3 W/m² > 60 W/m² — revoir la note de dimensionnement CVC et le débit nominal","69","⚡ Tiède","Risque sous-performance IPMVP : gain net mairie ≤ 0 au plancher 66 % (vérifier Lt et objectifs GPE) | PAC surdimensionnée pour bâtiment isolé (ITE) : 80.3 W/m² > 60 W/m² — revoir la note de dimensionnement CVC et le débit nominal","mairie@laravoire.com","ENGIE HOME SERVICES","2.3","fabienne.merite@engie.com","11","10 à 19 salariés","10","Rénovation Lourde","135","6","12","Été 2026 + Automne 2026","45.56945117400982","5.968879747683708"
"0731022P","73270","200041010","200041010","Ecole élémentaire","Enseignement","ETAT","MINISTERE DE L'EDUCATION NATIONALE","Saint-Pierre-d'Albigny","1341","1976","D (314 kWh/m²/an)","2021","D","421584","314.38","93549","42097","23153",,"fourchette","160920","134100","72414","72414","107280","72 414 € à 107 280 €","708","87798","87798","52932","1020000","38050","PACK_FINANÇABLE_EPCI","PROJET_GLOBAL_VALIDE","EPCI-200041010","En tant que propriétaire du groupe scolaire Ecole élémentaire, votre collectivité est soumise aux obligations de l'article L. 111-10-3 du Code de la construction et de l'habitation (loi ELAN) et au Décret Tertiaire (objectif −40 % en 2030 pour les bâtiments ≥ 1 000 m²). Sans action d'ici 2030, le bâtiment de 1341 m² s'expose aux sanctions administratives et au dispositif de « Name & Shame ». Le montage MGPE-PD (Loi 2023-222) permet un paiement différé lissé sur la performance réelle, compatible avec DETR, DSIL et Fonds Vert ÉduRénov.","Pour Saint-Pierre-d'Albigny (73), le montage MGPE-PD (Loi n° 2023-222 du 30 mars 2023 / Décret n° 2023-913 du 3 octobre 2023) permet de lancer la rénovation de 1 école (1341 m²) sans immobiliser la capacité d'autofinancement : le tiers-financeur porte le CAPEX hors subventions, remboursé par un loyer lissé sur 12 ans (ordre de grandeur 13 378 €/an). Objectif GPE : −45 % d'énergie finale (compatible DETR ≥ 30 % et Fonds Vert ≥ 40 %). La maîtrise d'ouvrage reste publique ; le contrat intègre PMRV (IPMVP), pénalités de sous-performance et réversibilité des équipements. Subventions attendues (fourchette) : 72 414 € à 107 280 €. Gain net annuel mairie (fourchette) : 8 943 € à 21 910 €/an. ROI part fonds (fourchette) : 2.4 à 9.8 ans.","14210","10187","4023","12","27887","8943","8943","21910","8 943 € à 21 910 €/an","13574","9.8","9.8","2.4","2.4 à 9.8 ans","45","55","79.8","false",,"62","⚡ Tiède",,"mairie@mairie-stpierredalbigny.fr","VITTON","11.2","secretariat@vitton-73.fr","11","10 à 19 salariés","10","Rénovation Moyenne","107","6","6","Été 2026 + Automne 2026","45.57058268457349","6.158000495377987"
"0731087K","73171","200041010","200041010","Ecole élémentaire Pillet Will","Enseignement","ETAT","MINISTERE DE L'EDUCATION NATIONALE","Montmélian","1336","1884","F (350 kWh/m²/an)","2021","F","467600","350","103760","46692","32684",,"fourchette","240480","200400","120240","120240","160320","120 240 € à 160 320 €","1154","119086","119086","79006","1020000","38050","FINANÇABLE_SOLO","PROJET_GLOBAL_VALIDE","SOLO","En tant que propriétaire du groupe scolaire Ecole élémentaire Pillet Will, votre collectivité est soumise aux obligations de l'article L. 111-10-3 du Code de la construction et de l'habitation (loi ELAN) et au Décret Tertiaire (objectif −40 % en 2030 pour les bâtiments ≥ 1 000 m²). Sans action d'ici 2030, le bâtiment de 1336 m² s'expose aux sanctions administratives et au dispositif de « Name & Shame ». Le montage MGPE-PD (Loi 2023-222) permet un paiement différé lissé sur la performance réelle, compatible avec DETR, DSIL et Fonds Vert ÉduRénov.","Pour Montmélian (73), le montage MGPE-PD (Loi n° 2023-222 du 30 mars 2023 / Décret n° 2023-913 du 3 octobre 2023) permet de lancer la rénovation de 1 école (1336 m²) sans immobiliser la capacité d'autofinancement : le tiers-financeur porte le CAPEX hors subventions, remboursé par un loyer lissé sur 12 ans (ordre de grandeur 18 701 €/an). Objectif GPE : −45 % d'énergie finale (compatible DETR ≥ 30 % et Fonds Vert ≥ 40 %). La maîtrise d'ouvrage reste publique ; le contrat intègre PMRV (IPMVP), pénalités de sous-performance et réversibilité des équipements. Subventions attendues (fourchette) : 120 240 € à 160 320 €. Gain net annuel mairie (fourchette) : 12 855 € à 20 589 €/an. ROI part fonds (fourchette) : 3.8 à 9.3 ans.","19829","13817","6012","12","26863","12855","12855","20589","12 855 € à 20 589 €/an","10988","9.3","9.3","3.8","3.8 à 9.3 ans","50","70","80.1","true","PAC surdimensionnée pour bâtiment isolé (ITE) : 80.1 W/m² > 60 W/m² — revoir la note de dimensionnement CVC et le débit nominal","83","🔥 Chaud","PAC surdimensionnée pour bâtiment isolé (ITE) : 80.1 W/m² > 60 W/m² — revoir la note de dimensionnement CVC et le débit nominal","mairie@montmelian.com","VITTON","0.1","secretariat@vitton-73.fr","11","10 à 19 salariés","10","Rénovation Lourde","107","6","10","Été 2026 + Automne 2026","45.50224982004972","6.055320070756637"
"0731433L","73059","200068674","200068674","Ecole primaire SERGE DUPRE","Enseignement","ETAT","MINISTERE DE L'EDUCATION NATIONALE","Brison-Saint-Innocent","1804","0","F (220 kWh/m²/an)","2018","F","396880","220","88068","39631","21797",,"fourchette","216480","180400","144320","144320","144320","144 320 € à 144 320 €","953","71207","71207","71207","434640","10545","PACK_FINANÇABLE_EPCI","SOUS_SEUIL_A_CREUSER","EPCI-200068674","En tant que propriétaire du groupe scolaire Ecole primaire SERGE DUPRE, votre collectivité est soumise aux obligations de l'article L. 111-10-3 du Code de la construction et de l'habitation (loi ELAN) et au Décret Tertiaire (objectif −40 % en 2030 pour les bâtiments ≥ 1 000 m²). Sans action d'ici 2030, le bâtiment de 1804 m² s'expose aux sanctions administratives et au dispositif de « Name & Shame ». Le montage MGPE-PD (Loi 2023-222) permet un paiement différé lissé sur la performance réelle, compatible avec DETR, DSIL et Fonds Vert ÉduRénov.","Pour Brison-Saint-Innocent (73), le montage MGPE-PD (Loi n° 2023-222 du 30 mars 2023 / Décret n° 2023-913 du 3 octobre 2023) permet de lancer la rénovation de 1 école (1804 m²) sans immobiliser la capacité d'autofinancement : le tiers-financeur porte le CAPEX hors subventions, remboursé par un loyer lissé sur 12 ans (ordre de grandeur 12 999 €/an). Objectif GPE : −45 % d'énergie finale (compatible DETR ≥ 30 % et Fonds Vert ≥ 40 %). La maîtrise d'ouvrage reste publique ; le contrat intègre PMRV (IPMVP), pénalités de sous-performance et réversibilité des équipements. Subventions attendues (fourchette) : 144 320 € à 144 320 €. Gain net annuel mairie (fourchette) : 8 123 € à 16 724 €/an. ROI part fonds (fourchette) : 4.3 à 8.8 ans.","13674","8262","5412","12","25957","8123","8123","16724","8 123 € à 16 724 €/an","12482","8.8","8.8","4.3","4.3 à 8.8 ans","66.7","55","79.8","false",,"75","🔥 Chaud",,"accueil@brison-st-innocent.fr","IDEX ENERGIES","8.6","idexalpesdauphine@idex.fr","12","20 à 49 salariés","20","Rénovation Moyenne","144","6","9","Été 2026 + Automne 2026","45.721903881661895","5.89027999402829"
