"Code_UAI","Code_INSEE","Code_EPCI","Nom_EPCI","Nom_Ecole","Type_Patrimoine","Proprietaire_FFO_Forme","Proprietaire_FFO_Denomination","Commune","Surface_M2","Annee_Construction","Statut_DPE","Annee_DPE","Classe_DPE","Conso_Annuelle_kWh","Conso_Specifique_kWh_M2","Facture_Annuelle_Euros","Economie_Annuelle_Euros","Economie_Realiste_Euros","Economie_Plancher_66pct_Euros","Modele_Financement","CAPEX_Total","CAPEX_HT_Euros","Subventions_Etat_Euros","Subventions_Pessimiste_Euros","Subventions_Optimiste_Euros","Subventions_Fourchette_Label","CEE_Euros","Part_Fonds_Euros","Part_Fonds_Pessimiste_Euros","Part_Fonds_Optimiste_Euros","Pack_CAPEX_Total","Pack_Gain_Net_Pessimiste_Total","Financement_Statut","Statut_Projet_EPCI","Package_ID","Argumentaire_Loi_ELAN","Argumentaire_MGPE_PD","MGPE_Loyer_Lt_Euros","MGPE_Redevance_Ft_Euros","MGPE_Part_Services_St_Euros","MGPE_Duree_Contrat_Ans","Gain_Net_Contractuel_Euros","Gain_Net_Annuel_Mairie_Euros","Gain_Net_Pessimiste_Euros","Gain_Net_Optimiste_Euros","Gain_Net_Fourchette_Label","Gain_Net_Plancher_66pct_Euros","Fonds_ROI_Annees","Fonds_ROI_Pessimiste_Annees","Fonds_ROI_Optimiste_Annees","Fonds_ROI_Fourchette_Label","Taux_Subvention_Pessimiste_Pct","Taux_Eco_Realiste_Pessimiste_Pct","Ratio_PAC_W_M2","Alerte_Surdimensionnement","Alerte_Surdimensionnement_Note","Score_Eligibilite_Closing","Closing_Temperature","Alerte_Financement","Email_Mairie","Artisan_Nom","Artisan_Distance_KM","Artisan_Email","Artisan_Tranche_Effectif","Artisan_Effectif_Label","Artisan_Effectif_Min","Type_Travaux","Puissance_PAC_kW","Ouvriers_Requis","Duree_Estimee_Semaines","Periode_Ideale_Chantier","Latitude","Longitude"
"0690475S","69143","200046977","200046977","Ecole maternelle Jacques Prévert","Enseignement","ETAT","MINISTERE DE L'EDUCATION NATIONALE","Neuville-sur-Saône","1059","0","E (220 kWh/m²/an)",,"Estimé","232980","220","51698","23264","12795",,"fourchette","127080","105900","57186","57186","84720","57 186 € à 84 720 €","559","69335","69335","41801","9739200","248181","PACK_FINANÇABLE_EPCI","PROJET_GLOBAL_VALIDE","EPCI-200046977","En tant que propriétaire du groupe scolaire Ecole maternelle Jacques Prévert, votre collectivité est soumise aux obligations de l'article L. 111-10-3 du Code de la construction et de l'habitation (loi ELAN) et au Décret Tertiaire (objectif −40 % en 2030 pour les bâtiments ≥ 1 000 m²). Sans action d'ici 2030, le bâtiment de 1059 m² s'expose aux sanctions administratives et au dispositif de « Name & Shame ». Le montage MGPE-PD (Loi 2023-222) permet un paiement différé lissé sur la performance réelle, compatible avec DETR, DSIL et Fonds Vert ÉduRénov.","Pour Neuville-sur-Saône (69), le montage MGPE-PD (Loi n° 2023-222 du 30 mars 2023 / Décret n° 2023-913 du 3 octobre 2023) permet de lancer la rénovation de 1 école (1059 m²) sans immobiliser la capacité d'autofinancement : le tiers-financeur porte le CAPEX hors subventions, remboursé par un loyer lissé sur 12 ans (ordre de grandeur 10 565 €/an). Objectif GPE : −45 % d'énergie finale (compatible DETR ≥ 30 % et Fonds Vert ≥ 40 %). La maîtrise d'ouvrage reste publique ; le contrat intègre PMRV (IPMVP), pénalités de sous-performance et réversibilité des équipements. Subventions attendues (fourchette) : 57 186 € à 84 720 €. Gain net annuel mairie (fourchette) : 1 573 € à 9 817 €/an. ROI part fonds (fourchette) : 4.3 à 44.1 ans.","11222","8045","3177","12","12042","1573","1573","9817","1 573 € à 9 817 €/an","4132","44.1","44.1","4.3","4.3 à 44.1 ans","45","55","80.3","false",,"65","⚡ Tiède",,"accueil@mairie-neuvillesursaone.fr","SPIE BATIGNOLLES ENERGIE","2.6","nasradine.boulala@spiebatignolles.fr","12","20 à 49 salariés","20","Rénovation Moyenne","85","6","5","Été 2026 + Automne 2026","45.87350106087892","4.843154712476436"
"0691513V","69297","246900765","246900765","Ecole élémentaire De Flévieu Le Haut","Enseignement","ETAT","MINISTERE DE L'EDUCATION NATIONALE","Ternay","1993","0","G (220 kWh/m²/an)","2019","G","438460","220","97294","43782","24080",,"fourchette","239160","199300","119580","119580","159440","119 580 € à 159 440 €","1052","118528","118528","78668","777660","6874","PACK_FINANÇABLE_EPCI","SOUS_SEUIL_A_CREUSER","EPCI-246900765","En tant que propriétaire du groupe scolaire Ecole élémentaire De Flévieu Le Haut, votre collectivité est soumise aux obligations de l'article L. 111-10-3 du Code de la construction et de l'habitation (loi ELAN) et au Décret Tertiaire (objectif −40 % en 2030 pour les bâtiments ≥ 1 000 m²). Sans action d'ici 2030, le bâtiment de 1993 m² s'expose aux sanctions administratives et au dispositif de « Name & Shame ». Le montage MGPE-PD (Loi 2023-222) permet un paiement différé lissé sur la performance réelle, compatible avec DETR, DSIL et Fonds Vert ÉduRénov.","Pour Ternay (69), le montage MGPE-PD (Loi n° 2023-222 du 30 mars 2023 / Décret n° 2023-913 du 3 octobre 2023) permet de lancer la rénovation de 1 école (1993 m²) sans immobiliser la capacité d'autofinancement : le tiers-financeur porte le CAPEX hors subventions, remboursé par un loyer lissé sur 12 ans (ordre de grandeur 18 608 €/an). Objectif GPE : −45 % d'énergie finale (compatible DETR ≥ 30 % et Fonds Vert ≥ 40 %). La maîtrise d'ouvrage reste publique ; le contrat intègre PMRV (IPMVP), pénalités de sous-performance et réversibilité des équipements. Subventions attendues (fourchette) : 119 580 € à 159 440 €. Gain net annuel mairie (fourchette) : 4 348 € à 18 476 €/an. ROI part fonds (fourchette) : 4.3 à 27.3 ans.","19732","13753","5979","12","24050","4348","4348","18476","4 348 € à 18 476 €/an","9164","27.3","27.3","4.3","4.3 à 27.3 ans","50","55","79.8","false",,"74","⚡ Tiède",,"mairie@ternay.fr","SOCIETE D'EQUIPEMENT DE CHAUFFAGE ET DE PLOMBERIE","2.5","courrier@secp.fr","12","20 à 49 salariés","20","Rénovation Moyenne","159","6","9","Été 2026 + Automne 2026","45.59581631275309","4.798819164709876"
"0691580T","69277","246900575","246900575","Ecole primaire Joanny Collomb","Enseignement","ETAT","MINISTERE DE L'EDUCATION NATIONALE","Genas","1150","1800","G (220 kWh/m²/an)","2016","G","253000","220","56141","25263","17684",,"fourchette","207000","172500","103500","103500","138000","103 500 € à 138 000 €","994","102506","102506","68006","4514460","121239","PACK_FINANÇABLE_EPCI","PROJET_GLOBAL_VALIDE","EPCI-246900575","En tant que propriétaire du groupe scolaire Ecole primaire Joanny Collomb, votre collectivité est soumise aux obligations de l'article L. 111-10-3 du Code de la construction et de l'habitation (loi ELAN) et au Décret Tertiaire (objectif −40 % en 2030 pour les bâtiments ≥ 1 000 m²). Sans action d'ici 2030, le bâtiment de 1150 m² s'expose aux sanctions administratives et au dispositif de « Name & Shame ». Le montage MGPE-PD (Loi 2023-222) permet un paiement différé lissé sur la performance réelle, compatible avec DETR, DSIL et Fonds Vert ÉduRénov.","Pour Genas (69), le montage MGPE-PD (Loi n° 2023-222 du 30 mars 2023 / Décret n° 2023-913 du 3 octobre 2023) permet de lancer la rénovation de 1 école (1150 m²) sans immobiliser la capacité d'autofinancement : le tiers-financeur porte le CAPEX hors subventions, remboursé par un loyer lissé sur 12 ans (ordre de grandeur 16 097 €/an). Objectif GPE : −45 % d'énergie finale (compatible DETR ≥ 30 % et Fonds Vert ≥ 40 %). La maîtrise d'ouvrage reste publique ; le contrat intègre PMRV (IPMVP), pénalités de sous-performance et réversibilité des équipements. Subventions attendues (fourchette) : 103 500 € à 138 000 €. Gain net annuel mairie (fourchette) : 615 € à 6 526 €/an. ROI part fonds (fourchette) : 10.4 à 166.7 ans.","17069","11894","5175","12","8194","615","615","6526","615 € à 6 526 €/an","-395","166.7","166.7","10.4","10.4 à 166.7 ans","50","70","80","true","PAC surdimensionnée pour bâtiment isolé (ITE) : 80 W/m² > 60 W/m² — revoir la note de dimensionnement CVC et le débit nominal","68","⚡ Tiède","Risque sous-performance IPMVP : gain net mairie ≤ 0 au plancher 66 % (vérifier Lt et objectifs GPE) | PAC surdimensionnée pour bâtiment isolé (ITE) : 80 W/m² > 60 W/m² — revoir la note de dimensionnement CVC et le débit nominal","service.urbanisme@ville-genas.fr;cabinetdumaire@ville-genas.fr","PLOMBELEC","2.7","s.hafidi@plombelec.net","12","20 à 49 salariés","20","Rénovation Lourde","92","6","8","Été 2026 + Automne 2026","45.731567326663","5.002195638178059"
"0692490G","69289","246900575","246900575","Ecole maternelle Louise Michel","Enseignement","ETAT","MINISTERE DE L'EDUCATION NATIONALE","Saint-Pierre-de-Chandieu","4432","1960","D (287 kWh/m²/an)","2021","D","1271984","287","282253","127014","88910",,"fourchette","797760","664800","358992","358992","531840","358 992 € à 531 840 €","3829","434939","434939","262091","4514460","121239","PACK_FINANÇABLE_EPCI","PROJET_GLOBAL_VALIDE","EPCI-246900575","En tant que propriétaire du groupe scolaire Ecole maternelle Louise Michel, votre collectivité est soumise aux obligations de l'article L. 111-10-3 du Code de la construction et de l'habitation (loi ELAN) et au Décret Tertiaire (objectif −40 % en 2030 pour les bâtiments ≥ 1 000 m²). Sans action d'ici 2030, le bâtiment de 4432 m² s'expose aux sanctions administratives et au dispositif de « Name & Shame ». Le montage MGPE-PD (Loi 2023-222) permet un paiement différé lissé sur la performance réelle, compatible avec DETR, DSIL et Fonds Vert ÉduRénov.","Pour Saint-Pierre-de-Chandieu (69), le montage MGPE-PD (Loi n° 2023-222 du 30 mars 2023 / Décret n° 2023-913 du 3 octobre 2023) permet de lancer la rénovation de 1 école (4432 m²) sans immobiliser la capacité d'autofinancement : le tiers-financeur porte le CAPEX hors subventions, remboursé par un loyer lissé sur 12 ans (ordre de grandeur 66 288 €/an). Objectif GPE : −45 % d'énergie finale (compatible DETR ≥ 30 % et Fonds Vert ≥ 40 %). La maîtrise d'ouvrage reste publique ; le contrat intègre PMRV (IPMVP), pénalités de sous-performance et réversibilité des équipements. Subventions attendues (fourchette) : 358 992 € à 531 840 €. Gain net annuel mairie (fourchette) : 18 500 € à 47 391 €/an. ROI part fonds (fourchette) : 5.5 à 23.5 ans.","70410","50466","19944","12","56604","18500","18500","47391","18 500 € à 47 391 €/an","13419","23.5","23.5","5.5","5.5 à 23.5 ans","45","70","80.1","true","PAC surdimensionnée pour bâtiment isolé (ITE) : 80.1 W/m² > 60 W/m² — revoir la note de dimensionnement CVC et le débit nominal","75","🔥 Chaud","PAC surdimensionnée pour bâtiment isolé (ITE) : 80.1 W/m² > 60 W/m² — revoir la note de dimensionnement CVC et le débit nominal","mairie@mairie-stpierredechandieu.com","MERLIN ETUDE DEVELOPPEMENT THERMIQUE","7.6","f.gautier@merlin-vergnaud.fr","21","50 à 99 salariés","50","Rénovation Lourde","355","24","8","Été 2026 + Automne 2026","45.647211450816535","5.016989300350134"
"0693381A","69219","246900740","246900740","Ecole maternelle","Enseignement","ETAT","MINISTERE DE L'EDUCATION NATIONALE","Saint-Laurent-d'Agny","3059","1985","D (213 kWh/m²/an)","2020","D","651567","213","144583","65062","35784",,"fourchette","367080","305900","238602","238602","244720","238 602 € à 244 720 €","1615","126863","126863","120745","551400","16000","FINANÇABLE_SOLO","SOUS_SEUIL_A_CREUSER","SOLO","En tant que propriétaire du groupe scolaire Ecole maternelle, votre collectivité est soumise aux obligations de l'article L. 111-10-3 du Code de la construction et de l'habitation (loi ELAN) et au Décret Tertiaire (objectif −40 % en 2030 pour les bâtiments ≥ 1 000 m²). Sans action d'ici 2030, le bâtiment de 3059 m² s'expose aux sanctions administratives et au dispositif de « Name & Shame ». Le montage MGPE-PD (Loi 2023-222) permet un paiement différé lissé sur la performance réelle, compatible avec DETR, DSIL et Fonds Vert ÉduRénov.","Pour Saint-Laurent-d'Agny (69), le montage MGPE-PD (Loi n° 2023-222 du 30 mars 2023 / Décret n° 2023-913 du 3 octobre 2023) permet de lancer la rénovation de 1 école (3059 m²) sans immobiliser la capacité d'autofinancement : le tiers-financeur porte le CAPEX hors subventions, remboursé par un loyer lissé sur 12 ans (ordre de grandeur 22 695 €/an). Objectif GPE : −45 % d'énergie finale (compatible DETR ≥ 30 % et Fonds Vert ≥ 40 %). La maîtrise d'ouvrage reste publique ; le contrat intègre PMRV (IPMVP), pénalités de sous-performance et réversibilité des équipements. Subventions attendues (fourchette) : 238 602 € à 244 720 €. Gain net annuel mairie (fourchette) : 11 887 € à 26 754 €/an. ROI part fonds (fourchette) : 4.5 à 10.7 ans.","23897","14720","9177","12","41165","11887","11887","26754","11 887 € à 26 754 €/an","19044","10.7","10.7","4.5","4.5 à 10.7 ans","65","55","80.1","false",,"69","⚡ Tiède",,"mairie@stlaurentdagny.fr","HERVE THERMIQUE","6.6","accueil-lyon@herve-thermique.com","22","100 à 199 salariés","100","Rénovation Moyenne","245","12","7","Été 2026 + Automne 2026","45.6400360768622","4.684493104662605"
"0690491J","69096","200046977","200046977","Ecole maternelle Paul Gauguin","Enseignement","ETAT","MINISTERE DE L'EDUCATION NATIONALE","Grigny-sur-Rhône","1105","1933","E (350 kWh/m²/an)","2014","E","386750","350","85820","38619","27033",,"fourchette","198900","165750","89505","89505","132600","89 505 € à 132 600 €","955","108440","108440","65345","9739200","248181","FINANÇABLE_SOLO","PROJET_GLOBAL_VALIDE","SOLO","En tant que propriétaire du groupe scolaire Ecole maternelle Paul Gauguin, votre collectivité est soumise aux obligations de l'article L. 111-10-3 du Code de la construction et de l'habitation (loi ELAN) et au Décret Tertiaire (objectif −40 % en 2030 pour les bâtiments ≥ 1 000 m²). Sans action d'ici 2030, le bâtiment de 1105 m² s'expose aux sanctions administratives et au dispositif de « Name & Shame ». Le montage MGPE-PD (Loi 2023-222) permet un paiement différé lissé sur la performance réelle, compatible avec DETR, DSIL et Fonds Vert ÉduRénov.","Pour Grigny-sur-Rhône (69), le montage MGPE-PD (Loi n° 2023-222 du 30 mars 2023 / Décret n° 2023-913 du 3 octobre 2023) permet de lancer la rénovation de 1 école (1105 m²) sans immobiliser la capacité d'autofinancement : le tiers-financeur porte le CAPEX hors subventions, remboursé par un loyer lissé sur 12 ans (ordre de grandeur 16 527 €/an). Objectif GPE : −45 % d'énergie finale (compatible DETR ≥ 30 % et Fonds Vert ≥ 40 %). La maîtrise d'ouvrage reste publique ; le contrat intègre PMRV (IPMVP), pénalités de sous-performance et réversibilité des équipements. Subventions attendues (fourchette) : 89 505 € à 132 600 €. Gain net annuel mairie (fourchette) : 9 478 € à 17 028 €/an. ROI part fonds (fourchette) : 3.8 à 11.4 ans.","17555","12582","4973","12","21064","9478","9478","17028","9 478 € à 17 028 €/an","7934","11.4","11.4","3.8","3.8 à 11.4 ans","45","70","79.6","true","PAC surdimensionnée pour bâtiment isolé (ITE) : 79.6 W/m² > 60 W/m² — revoir la note de dimensionnement CVC et le débit nominal","72","⚡ Tiède","PAC surdimensionnée pour bâtiment isolé (ITE) : 79.6 W/m² > 60 W/m² — revoir la note de dimensionnement CVC et le débit nominal","accueil@mairie-grigny69.fr;accueil@grignysurrhone.fr","SOCIETE D'EQUIPEMENT DE CHAUFFAGE ET DE PLOMBERIE","2.5","courrier@secp.fr","12","20 à 49 salariés","20","Rénovation Lourde","88","6","8","Été 2026 + Automne 2026","45.60329495932212","4.776317409698335"
"0690839M","69033","200046977","200046977","Ecole primaire","Enseignement","ETAT","MINISTERE DE L'EDUCATION NATIONALE","Cailloux-sur-Fontaines","1727","0","E (350 kWh/m²/an)","2021","E","604450","350","134127","60357","33196",,"fourchette","207240","172700","134706","134706","138160","134 706 € à 138 160 €","912","71622","71622","68168","9739200","248181","PACK_FINANÇABLE_EPCI","PROJET_GLOBAL_VALIDE","EPCI-200046977","En tant que propriétaire du groupe scolaire Ecole primaire, votre collectivité est soumise aux obligations de l'article L. 111-10-3 du Code de la construction et de l'habitation (loi ELAN) et au Décret Tertiaire (objectif −40 % en 2030 pour les bâtiments ≥ 1 000 m²). Sans action d'ici 2030, le bâtiment de 1727 m² s'expose aux sanctions administratives et au dispositif de « Name & Shame ». Le montage MGPE-PD (Loi 2023-222) permet un paiement différé lissé sur la performance réelle, compatible avec DETR, DSIL et Fonds Vert ÉduRénov.","Pour Cailloux-sur-Fontaines (69), le montage MGPE-PD (Loi n° 2023-222 du 30 mars 2023 / Décret n° 2023-913 du 3 octobre 2023) permet de lancer la rénovation de 1 école (1727 m²) sans immobiliser la capacité d'autofinancement : le tiers-financeur porte le CAPEX hors subventions, remboursé par un loyer lissé sur 12 ans (ordre de grandeur 12 812 €/an). Objectif GPE : −45 % d'énergie finale (compatible DETR ≥ 30 % et Fonds Vert ≥ 40 %). La maîtrise d'ouvrage reste publique ; le contrat intègre PMRV (IPMVP), pénalités de sous-performance et réversibilité des équipements. Subventions attendues (fourchette) : 134 706 € à 138 160 €. Gain net annuel mairie (fourchette) : 19 705 € à 32 824 €/an. ROI part fonds (fourchette) : 2.1 à 3.6 ans.","13491","8310","5181","12","46866","19705","19705","32824","19 705 € à 32 824 €/an","26345","3.6","3.6","2.1","2.1 à 3.6 ans","65","55","79.9","false",,"84","🔥 Chaud",,"contact@mairie-caillouxsurfontaines.fr","SETIM","0.7","s.generaux@setim.pro","12","20 à 49 salariés","20","Rénovation Moyenne","138","6","8","Été 2026 + Automne 2026","45.852544880497895","4.8713503217016"
"0691136K","69243","200040566","200040566","Ecole maternelle Radisson","Enseignement","ETAT","MINISTERE DE L'EDUCATION NATIONALE","Tarare","1362","0","E (220 kWh/m²/an)",,"Estimé","299640","220","66490","29921","16457",,"fourchette","163440","136200","73548","73548","108960","73 548 € à 108 960 €","719","89173","89173","53761","894780","11736","PACK_FINANÇABLE_EPCI","SOUS_SEUIL_A_CREUSER","EPCI-200040566","En tant que propriétaire du groupe scolaire Ecole maternelle Radisson, votre collectivité est soumise aux obligations de l'article L. 111-10-3 du Code de la construction et de l'habitation (loi ELAN) et au Décret Tertiaire (objectif −40 % en 2030 pour les bâtiments ≥ 1 000 m²). Sans action d'ici 2030, le bâtiment de 1362 m² s'expose aux sanctions administratives et au dispositif de « Name & Shame ». Le montage MGPE-PD (Loi 2023-222) permet un paiement différé lissé sur la performance réelle, compatible avec DETR, DSIL et Fonds Vert ÉduRénov.","Pour Tarare (69), le montage MGPE-PD (Loi n° 2023-222 du 30 mars 2023 / Décret n° 2023-913 du 3 octobre 2023) permet de lancer la rénovation de 1 école (1362 m²) sans immobiliser la capacité d'autofinancement : le tiers-financeur porte le CAPEX hors subventions, remboursé par un loyer lissé sur 12 ans (ordre de grandeur 13 588 €/an). Objectif GPE : −45 % d'énergie finale (compatible DETR ≥ 30 % et Fonds Vert ≥ 40 %). La maîtrise d'ouvrage reste publique ; le contrat intègre PMRV (IPMVP), pénalités de sous-performance et réversibilité des équipements. Subventions attendues (fourchette) : 73 548 € à 108 960 €. Gain net annuel mairie (fourchette) : 2 024 € à 12 627 €/an. ROI part fonds (fourchette) : 4.3 à 44.1 ans.","14433","10347","4086","12","15488","2024","2024","12627","2 024 € à 12 627 €/an","5315","44.1","44.1","4.3","4.3 à 44.1 ans","45","55","80","false",,"56","⚡ Tiède",,"mairie@ville-tarare.fr","ENTREPRISE D'ELECTRICITE DUBOST-RECORBET","14.8","contact@dubost-recorbet.fr","12","20 à 49 salariés","20","Rénovation Moyenne","109","6","6","Été 2026 + Automne 2026","45.89753612483967","4.435991387657786"
"0691447Y","69250","200046977","200046977","Ecole primaire Edmond Guion","Enseignement","ETAT","MINISTERE DE L'EDUCATION NATIONALE","La Tour-de-Salvagny","2506","1958","F (220 kWh/m²/an)","2014","F","551320","220","122338","55052","38536",,"fourchette","451080","375900","225540","225540","300720","225 540 € à 300 720 €","2165","223375","223375","148195","9739200","248181","PACK_FINANÇABLE_EPCI","PROJET_GLOBAL_VALIDE","EPCI-200046977","En tant que propriétaire du groupe scolaire Ecole primaire Edmond Guion, votre collectivité est soumise aux obligations de l'article L. 111-10-3 du Code de la construction et de l'habitation (loi ELAN) et au Décret Tertiaire (objectif −40 % en 2030 pour les bâtiments ≥ 1 000 m²). Sans action d'ici 2030, le bâtiment de 2506 m² s'expose aux sanctions administratives et au dispositif de « Name & Shame ». Le montage MGPE-PD (Loi 2023-222) permet un paiement différé lissé sur la performance réelle, compatible avec DETR, DSIL et Fonds Vert ÉduRénov.","Pour La Tour-de-Salvagny (69), le montage MGPE-PD (Loi n° 2023-222 du 30 mars 2023 / Décret n° 2023-913 du 3 octobre 2023) permet de lancer la rénovation de 1 école (2506 m²) sans immobiliser la capacité d'autofinancement : le tiers-financeur porte le CAPEX hors subventions, remboursé par un loyer lissé sur 12 ans (ordre de grandeur 35 078 €/an). Objectif GPE : −45 % d'énergie finale (compatible DETR ≥ 30 % et Fonds Vert ≥ 40 %). La maîtrise d'ouvrage reste publique ; le contrat intègre PMRV (IPMVP), pénalités de sous-performance et réversibilité des équipements. Subventions attendues (fourchette) : 225 540 € à 300 720 €. Gain net annuel mairie (fourchette) : 1 341 € à 14 222 €/an. ROI part fonds (fourchette) : 10.4 à 166.6 ans.","37195","25918","11277","12","17857","1341","1341","14222","1 341 € à 14 222 €/an","-861","166.6","166.6","10.4","10.4 à 166.6 ans","50","70","79.8","true","PAC surdimensionnée pour bâtiment isolé (ITE) : 79.8 W/m² > 60 W/m² — revoir la note de dimensionnement CVC et le débit nominal","65","⚡ Tiède","Risque sous-performance IPMVP : gain net mairie ≤ 0 au plancher 66 % (vérifier Lt et objectifs GPE) | PAC surdimensionnée pour bâtiment isolé (ITE) : 79.8 W/m² > 60 W/m² — revoir la note de dimensionnement CVC et le débit nominal","mairie.latour@salvagny.org","INDUSTHERM","12.5","contact@industherm.fr","21","50 à 99 salariés","50","Rénovation Lourde","200","12","9","Été 2026 + Automne 2026","45.814460603897615","4.717301216784699"
"0691643L","69293","200046977","200046977","Ecole primaire Les Grains de Blé","Enseignement","ETAT","MINISTERE DE L'EDUCATION NATIONALE","Sathonay-Village","1457","0","E (220 kWh/m²/an)",,"Estimé","320540","220","71128","32008","17604",,"fourchette","174840","145700","113646","113646","116560","113 646 € à 116 560 €","769","60425","60425","57511","9739200","248181","PACK_FINANÇABLE_EPCI","PROJET_GLOBAL_VALIDE","EPCI-200046977","En tant que propriétaire du groupe scolaire Ecole primaire Les Grains de Blé, votre collectivité est soumise aux obligations de l'article L. 111-10-3 du Code de la construction et de l'habitation (loi ELAN) et au Décret Tertiaire (objectif −40 % en 2030 pour les bâtiments ≥ 1 000 m²). Sans action d'ici 2030, le bâtiment de 1457 m² s'expose aux sanctions administratives et au dispositif de « Name & Shame ». Le montage MGPE-PD (Loi 2023-222) permet un paiement différé lissé sur la performance réelle, compatible avec DETR, DSIL et Fonds Vert ÉduRénov.","Pour Sathonay-Village (69), le montage MGPE-PD (Loi n° 2023-222 du 30 mars 2023 / Décret n° 2023-913 du 3 octobre 2023) permet de lancer la rénovation de 1 école (1457 m²) sans immobiliser la capacité d'autofinancement : le tiers-financeur porte le CAPEX hors subventions, remboursé par un loyer lissé sur 12 ans (ordre de grandeur 10 809 €/an). Objectif GPE : −45 % d'énergie finale (compatible DETR ≥ 30 % et Fonds Vert ≥ 40 %). La maîtrise d'ouvrage reste publique ; le contrat intègre PMRV (IPMVP), pénalités de sous-performance et réversibilité des équipements. Subventions attendues (fourchette) : 113 646 € à 116 560 €. Gain net annuel mairie (fourchette) : 6 222 € à 13 507 €/an. ROI part fonds (fourchette) : 4.3 à 9.7 ans.","11382","7011","4371","12","20626","6222","6222","13507","6 222 € à 13 507 €/an","9743","9.7","9.7","4.3","4.3 à 9.7 ans","65","55","80.3","false",,"70","⚡ Tiède",,"mairie@sathonay-village.fr","SETIM","2.7","s.generaux@setim.pro","12","20 à 49 salariés","20","Rénovation Moyenne","117","6","7","Été 2026 + Automne 2026","45.83237144123105","4.878425889578198"
