"Code_UAI","Code_INSEE","Code_EPCI","Nom_EPCI","Nom_Ecole","Type_Patrimoine","Proprietaire_FFO_Forme","Proprietaire_FFO_Denomination","Commune","Surface_M2","Annee_Construction","Statut_DPE","Annee_DPE","Classe_DPE","Conso_Annuelle_kWh","Conso_Specifique_kWh_M2","Facture_Annuelle_Euros","Economie_Annuelle_Euros","Economie_Realiste_Euros","Economie_Plancher_66pct_Euros","Modele_Financement","CAPEX_Total","CAPEX_HT_Euros","Subventions_Etat_Euros","Subventions_Pessimiste_Euros","Subventions_Optimiste_Euros","Subventions_Fourchette_Label","CEE_Euros","Part_Fonds_Euros","Part_Fonds_Pessimiste_Euros","Part_Fonds_Optimiste_Euros","Pack_CAPEX_Total","Pack_Gain_Net_Pessimiste_Total","Financement_Statut","Statut_Projet_EPCI","Package_ID","Argumentaire_Loi_ELAN","Argumentaire_MGPE_PD","MGPE_Loyer_Lt_Euros","MGPE_Redevance_Ft_Euros","MGPE_Part_Services_St_Euros","MGPE_Duree_Contrat_Ans","Gain_Net_Contractuel_Euros","Gain_Net_Annuel_Mairie_Euros","Gain_Net_Pessimiste_Euros","Gain_Net_Optimiste_Euros","Gain_Net_Fourchette_Label","Gain_Net_Plancher_66pct_Euros","Fonds_ROI_Annees","Fonds_ROI_Pessimiste_Annees","Fonds_ROI_Optimiste_Annees","Fonds_ROI_Fourchette_Label","Taux_Subvention_Pessimiste_Pct","Taux_Eco_Realiste_Pessimiste_Pct","Ratio_PAC_W_M2","Alerte_Surdimensionnement","Alerte_Surdimensionnement_Note","Score_Eligibilite_Closing","Closing_Temperature","Alerte_Financement","Email_Mairie","Artisan_Nom","Artisan_Distance_KM","Artisan_Email","Artisan_Tranche_Effectif","Artisan_Effectif_Label","Artisan_Effectif_Min","Type_Travaux","Puissance_PAC_kW","Ouvriers_Requis","Duree_Estimee_Semaines","Periode_Ideale_Chantier","Latitude","Longitude"
"0260981A","26124","200068781","200068781","Ecole maternelle","Enseignement","ETAT","MINISTERE DE L'EDUCATION NATIONALE","Etoile-sur-Rhône","3643","0","E (220 kWh/m²/an)",,"Estimé","801460","220","177844","80030","44017",,"fourchette","437160","364300","196722","196722","291440","196 722 € à 291 440 €","1924","238514","238514","143796","3862440","51108","PACK_FINANÇABLE_EPCI","PROJET_GLOBAL_VALIDE","EPCI-200068781","En tant que propriétaire du groupe scolaire Ecole maternelle, votre collectivité est soumise aux obligations de l'article L. 111-10-3 du Code de la construction et de l'habitation (loi ELAN) et au Décret Tertiaire (objectif −40 % en 2030 pour les bâtiments ≥ 1 000 m²). Sans action d'ici 2030, le bâtiment de 3643 m² s'expose aux sanctions administratives et au dispositif de « Name & Shame ». Le montage MGPE-PD (Loi 2023-222) permet un paiement différé lissé sur la performance réelle, compatible avec DETR, DSIL et Fonds Vert ÉduRénov.","Pour Etoile-sur-Rhône (26), le montage MGPE-PD (Loi n° 2023-222 du 30 mars 2023 / Décret n° 2023-913 du 3 octobre 2023) permet de lancer la rénovation de 1 école (3643 m²) sans immobiliser la capacité d'autofinancement : le tiers-financeur porte le CAPEX hors subventions, remboursé par un loyer lissé sur 12 ans (ordre de grandeur 36 343 €/an). Objectif GPE : −45 % d'énergie finale (compatible DETR ≥ 30 % et Fonds Vert ≥ 40 %). La maîtrise d'ouvrage reste publique ; le contrat intègre PMRV (IPMVP), pénalités de sous-performance et réversibilité des équipements. Subventions attendues (fourchette) : 196 722 € à 291 440 €. Gain net annuel mairie (fourchette) : 5 413 € à 33 772 €/an. ROI part fonds (fourchette) : 4.3 à 44.1 ans.","38604","27675","10929","12","41426","5413","5413","33772","5 413 € à 33 772 €/an","14216","44.1","44.1","4.3","4.3 à 44.1 ans","45","55","79.9","false",,"68","⚡ Tiède",,"accueil@mairie-etoilesurrhone.fr","TEC.2E","6.2","tec2e@tec2e.fr","12","20 à 49 salariés","20","Rénovation Moyenne","291","24","4","Été 2026 + Automne 2026","44.83775142456557","4.89117984215856"
"0261002Y","26271","200073096","200073096","Ecole maternelle","Enseignement","ETAT","MINISTERE DE L'EDUCATION NATIONALE","La Roche-de-Glun","1310","1975","E (305 kWh/m²/an)","2020","E","400126","305.44","88788","39955","21975",,"fourchette","157200","131000","70740","70740","104800","70 740 € à 104 800 €","692","85768","85768","51708","310920","9997","PACK_FINANÇABLE_EPCI","SOUS_SEUIL_A_CREUSER","EPCI-200073096","En tant que propriétaire du groupe scolaire Ecole maternelle, votre collectivité est soumise aux obligations de l'article L. 111-10-3 du Code de la construction et de l'habitation (loi ELAN) et au Décret Tertiaire (objectif −40 % en 2030 pour les bâtiments ≥ 1 000 m²). Sans action d'ici 2030, le bâtiment de 1310 m² s'expose aux sanctions administratives et au dispositif de « Name & Shame ». Le montage MGPE-PD (Loi 2023-222) permet un paiement différé lissé sur la performance réelle, compatible avec DETR, DSIL et Fonds Vert ÉduRénov.","Pour La Roche-de-Glun (26), le montage MGPE-PD (Loi n° 2023-222 du 30 mars 2023 / Décret n° 2023-913 du 3 octobre 2023) permet de lancer la rénovation de 1 école (1310 m²) sans immobiliser la capacité d'autofinancement : le tiers-financeur porte le CAPEX hors subventions, remboursé par un loyer lissé sur 12 ans (ordre de grandeur 13 069 €/an). Objectif GPE : −45 % d'énergie finale (compatible DETR ≥ 30 % et Fonds Vert ≥ 40 %). La maîtrise d'ouvrage reste publique ; le contrat intègre PMRV (IPMVP), pénalités de sous-performance et réversibilité des équipements. Subventions attendues (fourchette) : 70 740 € à 104 800 €. Gain net annuel mairie (fourchette) : 8 093 € à 20 526 €/an. ROI part fonds (fourchette) : 2.5 à 10.6 ans.","13882","9952","3930","12","26073","8093","8093","20526","8 093 € à 20 526 €/an","12488","10.6","10.6","2.5","2.5 à 10.6 ans","45","55","80.2","false",,"71","⚡ Tiède",,"mairie@larochedeglun.fr","ETS GIRES","6.4","contact@gires-sarl.com","11","10 à 19 salariés","10","Rénovation Moyenne","105","6","6","Été 2026 + Automne 2026","45.00950480158265","4.848169517723622"
"0261142A","26166","242600252","242600252","Ecole maternelle Jules Ferry","Enseignement","ETAT","MINISTERE DE L'EDUCATION NATIONALE","Loriol-sur-Drôme","2288","1980","E (325 kWh/m²/an)","2014","E","743989","325.17","165091","74291","40860",,"fourchette","274560","228800","123552","123552","183040","123 552 € à 183 040 €","1208","149800","149800","90312","648480","21243","FINANÇABLE_SOLO","SOUS_SEUIL_A_CREUSER","SOLO","En tant que propriétaire du groupe scolaire Ecole maternelle Jules Ferry, votre collectivité est soumise aux obligations de l'article L. 111-10-3 du Code de la construction et de l'habitation (loi ELAN) et au Décret Tertiaire (objectif −40 % en 2030 pour les bâtiments ≥ 1 000 m²). Sans action d'ici 2030, le bâtiment de 2288 m² s'expose aux sanctions administratives et au dispositif de « Name & Shame ». Le montage MGPE-PD (Loi 2023-222) permet un paiement différé lissé sur la performance réelle, compatible avec DETR, DSIL et Fonds Vert ÉduRénov.","Pour Loriol-sur-Drôme (26), le montage MGPE-PD (Loi n° 2023-222 du 30 mars 2023 / Décret n° 2023-913 du 3 octobre 2023) permet de lancer la rénovation de 1 école (2288 m²) sans immobiliser la capacité d'autofinancement : le tiers-financeur porte le CAPEX hors subventions, remboursé par un loyer lissé sur 12 ans (ordre de grandeur 22 826 €/an). Objectif GPE : −45 % d'énergie finale (compatible DETR ≥ 30 % et Fonds Vert ≥ 40 %). La maîtrise d'ouvrage reste publique ; le contrat intègre PMRV (IPMVP), pénalités de sous-performance et réversibilité des équipements. Subventions attendues (fourchette) : 123 552 € à 183 040 €. Gain net annuel mairie (fourchette) : 16 615 € à 39 231 €/an. ROI part fonds (fourchette) : 2.3 à 9 ans.","24245","17381","6864","12","50046","16615","16615","39231","16 615 € à 39 231 €/an","24787","9","9","2.3","2.3 à 9 ans","45","55","80","false",,"80","🔥 Chaud",,"mairie@loriol.com","VIGNAL ENERGIES","4.3","a.gey@vignal-electricite.com","12","20 à 49 salariés","20","Rénovation Moyenne","183","12","5","Été 2026 + Automne 2026","44.74335645000182","4.810129824773073"
"0261204T","26124","200068781","200068781","Ecole primaire Village","Enseignement","ETAT","MINISTERE DE L'EDUCATION NATIONALE","Etoile-sur-Rhône","3643","0","E (220 kWh/m²/an)",,"Estimé","801460","220","177844","80030","44017",,"fourchette","437160","364300","196722","196722","291440","196 722 € à 291 440 €","1924","238514","238514","143796","3862440","51108","PACK_FINANÇABLE_EPCI","PROJET_GLOBAL_VALIDE","EPCI-200068781","En tant que propriétaire du groupe scolaire Ecole primaire Village, votre collectivité est soumise aux obligations de l'article L. 111-10-3 du Code de la construction et de l'habitation (loi ELAN) et au Décret Tertiaire (objectif −40 % en 2030 pour les bâtiments ≥ 1 000 m²). Sans action d'ici 2030, le bâtiment de 3643 m² s'expose aux sanctions administratives et au dispositif de « Name & Shame ». Le montage MGPE-PD (Loi 2023-222) permet un paiement différé lissé sur la performance réelle, compatible avec DETR, DSIL et Fonds Vert ÉduRénov.","Pour Etoile-sur-Rhône (26), le montage MGPE-PD (Loi n° 2023-222 du 30 mars 2023 / Décret n° 2023-913 du 3 octobre 2023) permet de lancer la rénovation de 1 école (3643 m²) sans immobiliser la capacité d'autofinancement : le tiers-financeur porte le CAPEX hors subventions, remboursé par un loyer lissé sur 12 ans (ordre de grandeur 36 343 €/an). Objectif GPE : −45 % d'énergie finale (compatible DETR ≥ 30 % et Fonds Vert ≥ 40 %). La maîtrise d'ouvrage reste publique ; le contrat intègre PMRV (IPMVP), pénalités de sous-performance et réversibilité des équipements. Subventions attendues (fourchette) : 196 722 € à 291 440 €. Gain net annuel mairie (fourchette) : 5 413 € à 33 772 €/an. ROI part fonds (fourchette) : 4.3 à 44.1 ans.","38604","27675","10929","12","41426","5413","5413","33772","5 413 € à 33 772 €/an","14216","44.1","44.1","4.3","4.3 à 44.1 ans","45","55","79.9","false",,"68","⚡ Tiède",,"accueil@mairie-etoilesurrhone.fr","TEC.2E","6.2","tec2e@tec2e.fr","12","20 à 49 salariés","20","Rénovation Moyenne","291","24","4","Été 2026 + Automne 2026","44.83803720569101","4.891109721557454"
"0260856P","26252","200068781","200068781","Ecole maternelle Voltaire","Enseignement","ETAT","MINISTERE DE L'EDUCATION NATIONALE","Portes-lès-Valence","3598","1971","F (220 kWh/m²/an)","2018","F","791560","220","175647","79041","55329",,"fourchette","647640","539700","323820","323820","431760","323 820 € à 431 760 €","3109","320711","320711","212771","3862440","51108","PACK_FINANÇABLE_EPCI","PROJET_GLOBAL_VALIDE","EPCI-200068781","En tant que propriétaire du groupe scolaire Ecole maternelle Voltaire, votre collectivité est soumise aux obligations de l'article L. 111-10-3 du Code de la construction et de l'habitation (loi ELAN) et au Décret Tertiaire (objectif −40 % en 2030 pour les bâtiments ≥ 1 000 m²). Sans action d'ici 2030, le bâtiment de 3598 m² s'expose aux sanctions administratives et au dispositif de « Name & Shame ». Le montage MGPE-PD (Loi 2023-222) permet un paiement différé lissé sur la performance réelle, compatible avec DETR, DSIL et Fonds Vert ÉduRénov.","Pour Portes-lès-Valence (26), le montage MGPE-PD (Loi n° 2023-222 du 30 mars 2023 / Décret n° 2023-913 du 3 octobre 2023) permet de lancer la rénovation de 1 école (3598 m²) sans immobiliser la capacité d'autofinancement : le tiers-financeur porte le CAPEX hors subventions, remboursé par un loyer lissé sur 12 ans (ordre de grandeur 50 363 €/an). Objectif GPE : −45 % d'énergie finale (compatible DETR ≥ 30 % et Fonds Vert ≥ 40 %). La maîtrise d'ouvrage reste publique ; le contrat intègre PMRV (IPMVP), pénalités de sous-performance et réversibilité des équipements. Subventions attendues (fourchette) : 323 820 € à 431 760 €. Gain net annuel mairie (fourchette) : 1 926 € à 20 419 €/an. ROI part fonds (fourchette) : 10.4 à 166.5 ans.","53403","37212","16191","12","25638","1926","1926","20419","1 926 € à 20 419 €/an","-1236","166.5","166.5","10.4","10.4 à 166.5 ans","50","70","80","true","PAC surdimensionnée pour bâtiment isolé (ITE) : 80 W/m² > 60 W/m² — revoir la note de dimensionnement CVC et le débit nominal","70","⚡ Tiède","Risque sous-performance IPMVP : gain net mairie ≤ 0 au plancher 66 % (vérifier Lt et objectifs GPE) | PAC surdimensionnée pour bâtiment isolé (ITE) : 80 W/m² > 60 W/m² — revoir la note de dimensionnement CVC et le débit nominal","cabinet.maire@mairie-plv.fr","TEC.2E","3.5","tec2e@tec2e.fr","12","20 à 49 salariés","20","Rénovation Lourde","288","24","6","Été 2026 + Automne 2026","44.87724195345844","4.879010563108043"
"0261348Z","26325","200040491","200040491","Ecole F. et A. Martin","Enseignement","ETAT","MINISTERE DE L'EDUCATION NATIONALE","Saint-Rambert-d'Albon","2619","1931","D (210 kWh/m²/an)","2019","D","549780","209.92","121996","54898","38429",,"fourchette","471420","392850","212139","212139","314280","212 139 € à 314 280 €","2263","257018","257018","154877","471420","-3179","À_REGROUPER","SOUS_SEUIL_A_CREUSER","EPCI-200040491","En tant que propriétaire du groupe scolaire Ecole F. et A. Martin, votre collectivité est soumise aux obligations de l'article L. 111-10-3 du Code de la construction et de l'habitation (loi ELAN) et au Décret Tertiaire (objectif −40 % en 2030 pour les bâtiments ≥ 1 000 m²). Sans action d'ici 2030, le bâtiment de 2619 m² s'expose aux sanctions administratives et au dispositif de « Name & Shame ». Le montage MGPE-PD (Loi 2023-222) permet un paiement différé lissé sur la performance réelle, compatible avec DETR, DSIL et Fonds Vert ÉduRénov.","Pour Saint-Rambert-d'Albon (26), le montage MGPE-PD (Loi n° 2023-222 du 30 mars 2023 / Décret n° 2023-913 du 3 octobre 2023) permet de lancer la rénovation de 1 école (2619 m²) sans immobiliser la capacité d'autofinancement : le tiers-financeur porte le CAPEX hors subventions, remboursé par un loyer lissé sur 12 ans (ordre de grandeur 39 171 €/an). Objectif GPE : −45 % d'énergie finale (compatible DETR ≥ 30 % et Fonds Vert ≥ 40 %). La maîtrise d'ouvrage reste publique ; le contrat intègre PMRV (IPMVP), pénalités de sous-performance et réversibilité des équipements. Subventions attendues (fourchette) : 212 139 € à 314 280 €. Gain net annuel mairie (fourchette) : -3 179 € à 12 886 €/an. ROI part fonds (fourchette) : — à 12 ans.","41608","29822","11786","12","13290","-3179","-3179","12886","-3 179 € à 12 886 €/an","-5375",,,"12","— à 12 ans","45","70","80.2","true","PAC surdimensionnée pour bâtiment isolé (ITE) : 80.2 W/m² > 60 W/m² — revoir la note de dimensionnement CVC et le débit nominal","53","⚡ Tiède","Risque sous-performance IPMVP : gain net mairie ≤ 0 au plancher 66 % (vérifier Lt et objectifs GPE) | PAC surdimensionnée pour bâtiment isolé (ITE) : 80.2 W/m² > 60 W/m² — revoir la note de dimensionnement CVC et le débit nominal","contact@ville-st-rambert.fr","LOPEZ PLOMBERIE ELECTRICITE","10.9","contact@lpe38.fr","12","20 à 49 salariés","20","Rénovation Lourde","210","12","9","Été 2026 + Automne 2026","45.291584648180184","4.816610595759154"
"0260598J","26057","200068781","200068781","Ecole maternelle République","Enseignement","ETAT","MINISTERE DE L'EDUCATION NATIONALE","Bourg-de-Péage","2800","0","D (236 kWh/m²/an)","2014","D","660800","236","146632","65984","36291",,"fourchette","336000","280000","151200","151200","224000","151 200 € à 224 000 €","1478","183322","183322","110522","3862440","51108","PACK_FINANÇABLE_EPCI","PROJET_GLOBAL_VALIDE","EPCI-200068781","En tant que propriétaire du groupe scolaire Ecole maternelle République, votre collectivité est soumise aux obligations de l'article L. 111-10-3 du Code de la construction et de l'habitation (loi ELAN) et au Décret Tertiaire (objectif −40 % en 2030 pour les bâtiments ≥ 1 000 m²). Sans action d'ici 2030, le bâtiment de 2800 m² s'expose aux sanctions administratives et au dispositif de « Name & Shame ». Le montage MGPE-PD (Loi 2023-222) permet un paiement différé lissé sur la performance réelle, compatible avec DETR, DSIL et Fonds Vert ÉduRénov.","Pour Bourg-de-Péage (26), le montage MGPE-PD (Loi n° 2023-222 du 30 mars 2023 / Décret n° 2023-913 du 3 octobre 2023) permet de lancer la rénovation de 1 école (2800 m²) sans immobiliser la capacité d'autofinancement : le tiers-financeur porte le CAPEX hors subventions, remboursé par un loyer lissé sur 12 ans (ordre de grandeur 27 933 €/an). Objectif GPE : −45 % d'énergie finale (compatible DETR ≥ 30 % et Fonds Vert ≥ 40 %). La maîtrise d'ouvrage reste publique ; le contrat intègre PMRV (IPMVP), pénalités de sous-performance et réversibilité des équipements. Subventions attendues (fourchette) : 151 200 € à 224 000 €. Gain net annuel mairie (fourchette) : 6 620 € à 29 312 €/an. ROI part fonds (fourchette) : 3.8 à 27.7 ans.","29671","21271","8400","12","36313","6620","6620","29312","6 620 € à 29 312 €/an","13878","27.7","27.7","3.8","3.8 à 27.7 ans","45","55","80","false",,"52","⚡ Tiède",,"contact@mairiebdp.fr","TEC.2E","19.3","tec2e@tec2e.fr","12","20 à 49 salariés","20","Rénovation Moyenne","224","12","7","Été 2026 + Automne 2026","45.03703191283253","5.049260600797152"
"0260636A","26301","200073096","200073096","Ecole maternelle","Enseignement","ETAT","MINISTERE DE L'EDUCATION NATIONALE","Saint-Donat-sur-l'Herbasse","1281","0","E (220 kWh/m²/an)",,"Estimé","281820","220","62536","28141","15478",,"fourchette","153720","128100","69174","69174","102480","69 174 € à 102 480 €","676","83870","83870","50564","310920","9997","PACK_FINANÇABLE_EPCI","SOUS_SEUIL_A_CREUSER","EPCI-200073096","En tant que propriétaire du groupe scolaire Ecole maternelle, votre collectivité est soumise aux obligations de l'article L. 111-10-3 du Code de la construction et de l'habitation (loi ELAN) et au Décret Tertiaire (objectif −40 % en 2030 pour les bâtiments ≥ 1 000 m²). Sans action d'ici 2030, le bâtiment de 1281 m² s'expose aux sanctions administratives et au dispositif de « Name & Shame ». Le montage MGPE-PD (Loi 2023-222) permet un paiement différé lissé sur la performance réelle, compatible avec DETR, DSIL et Fonds Vert ÉduRénov.","Pour Saint-Donat-sur-l'Herbasse (26), le montage MGPE-PD (Loi n° 2023-222 du 30 mars 2023 / Décret n° 2023-913 du 3 octobre 2023) permet de lancer la rénovation de 1 école (1281 m²) sans immobiliser la capacité d'autofinancement : le tiers-financeur porte le CAPEX hors subventions, remboursé par un loyer lissé sur 12 ans (ordre de grandeur 12 780 €/an). Objectif GPE : −45 % d'énergie finale (compatible DETR ≥ 30 % et Fonds Vert ≥ 40 %). La maîtrise d'ouvrage reste publique ; le contrat intègre PMRV (IPMVP), pénalités de sous-performance et réversibilité des équipements. Subventions attendues (fourchette) : 69 174 € à 102 480 €. Gain net annuel mairie (fourchette) : 1 904 € à 11 875 €/an. ROI part fonds (fourchette) : 4.3 à 44 ans.","13574","9731","3843","12","14567","1904","1904","11875","1 904 € à 11 875 €/an","4999","44","44","4.3","4.3 à 44 ans","45","55","79.6","false",,"61","⚡ Tiède",,"contact@ville-st-donat.fr","ETS GIRES","11.6","contact@gires-sarl.com","11","10 à 19 salariés","10","Rénovation Moyenne","102","6","6","Été 2026 + Automne 2026","45.12187042840103","4.986290491874297"
"0260703Y","26165","242600252","242600252","Ecole Alphonse Daudet","Enseignement","ETAT","MINISTERE DE L'EDUCATION NATIONALE","Livron-sur-Drôme","1558","0","E (220 kWh/m²/an)",,"Estimé","342760","220","76058","34226","18824",,"fourchette","186960","155800","84132","84132","124640","84 132 € à 124 640 €","823","102005","102005","61497","648480","21243","PACK_FINANÇABLE_EPCI","SOUS_SEUIL_A_CREUSER","EPCI-242600252","En tant que propriétaire du groupe scolaire Ecole Alphonse Daudet, votre collectivité est soumise aux obligations de l'article L. 111-10-3 du Code de la construction et de l'habitation (loi ELAN) et au Décret Tertiaire (objectif −40 % en 2030 pour les bâtiments ≥ 1 000 m²). Sans action d'ici 2030, le bâtiment de 1558 m² s'expose aux sanctions administratives et au dispositif de « Name & Shame ». Le montage MGPE-PD (Loi 2023-222) permet un paiement différé lissé sur la performance réelle, compatible avec DETR, DSIL et Fonds Vert ÉduRénov.","Pour Livron-sur-Drôme (26), le montage MGPE-PD (Loi n° 2023-222 du 30 mars 2023 / Décret n° 2023-913 du 3 octobre 2023) permet de lancer la rénovation de 1 école (1558 m²) sans immobiliser la capacité d'autofinancement : le tiers-financeur porte le CAPEX hors subventions, remboursé par un loyer lissé sur 12 ans (ordre de grandeur 15 543 €/an). Objectif GPE : −45 % d'énergie finale (compatible DETR ≥ 30 % et Fonds Vert ≥ 40 %). La maîtrise d'ouvrage reste publique ; le contrat intègre PMRV (IPMVP), pénalités de sous-performance et réversibilité des équipements. Subventions attendues (fourchette) : 84 132 € à 124 640 €. Gain net annuel mairie (fourchette) : 2 314 € à 14 443 €/an. ROI part fonds (fourchette) : 4.3 à 44.1 ans.","16510","11836","4674","12","17716","2314","2314","14443","2 314 € à 14 443 €/an","6079","44.1","44.1","4.3","4.3 à 44.1 ans","45","55","80.2","false",,"65","⚡ Tiède",,"courrier@mairie-livron.fr","VIGNAL ENERGIES","1.1","a.gey@vignal-electricite.com","12","20 à 49 salariés","20","Rénovation Moyenne","125","6","7","Été 2026 + Automne 2026","44.773929029108054","4.83732754650059"
"0260757G","26197","200068781","200068781","Ecole primaire Mélusine","Enseignement","ETAT","MINISTERE DE L'EDUCATION NATIONALE","Montélier","2926","0","E (220 kWh/m²/an)",,"Estimé","643720","220","142841","64278","35353",,"fourchette","351120","292600","158004","158004","234080","158 004 € à 234 080 €","1545","191571","191571","115495","3862440","51108","PACK_FINANÇABLE_EPCI","PROJET_GLOBAL_VALIDE","EPCI-200068781","En tant que propriétaire du groupe scolaire Ecole primaire Mélusine, votre collectivité est soumise aux obligations de l'article L. 111-10-3 du Code de la construction et de l'habitation (loi ELAN) et au Décret Tertiaire (objectif −40 % en 2030 pour les bâtiments ≥ 1 000 m²). Sans action d'ici 2030, le bâtiment de 2926 m² s'expose aux sanctions administratives et au dispositif de « Name & Shame ». Le montage MGPE-PD (Loi 2023-222) permet un paiement différé lissé sur la performance réelle, compatible avec DETR, DSIL et Fonds Vert ÉduRénov.","Pour Montélier (26), le montage MGPE-PD (Loi n° 2023-222 du 30 mars 2023 / Décret n° 2023-913 du 3 octobre 2023) permet de lancer la rénovation de 1 école (2926 m²) sans immobiliser la capacité d'autofinancement : le tiers-financeur porte le CAPEX hors subventions, remboursé par un loyer lissé sur 12 ans (ordre de grandeur 29 190 €/an). Objectif GPE : −45 % d'énergie finale (compatible DETR ≥ 30 % et Fonds Vert ≥ 40 %). La maîtrise d'ouvrage reste publique ; le contrat intègre PMRV (IPMVP), pénalités de sous-performance et réversibilité des équipements. Subventions attendues (fourchette) : 158 004 € à 234 080 €. Gain net annuel mairie (fourchette) : 4 347 € à 27 125 €/an. ROI part fonds (fourchette) : 4.3 à 44.1 ans.","31006","22228","8778","12","33272","4347","4347","27125","4 347 € à 27 125 €/an","11417","44.1","44.1","4.3","4.3 à 44.1 ans","45","55","80","false",,"64","⚡ Tiède",,"contact@montelier.com","TEC.2E","10.1","tec2e@tec2e.fr","12","20 à 49 salariés","20","Rénovation Moyenne","234","12","7","Été 2026 + Automne 2026","44.9368900334148","5.02875997693451"
