"Code_UAI","Code_INSEE","Code_EPCI","Nom_EPCI","Nom_Ecole","Type_Patrimoine","Proprietaire_FFO_Forme","Proprietaire_FFO_Denomination","Commune","Surface_M2","Annee_Construction","Statut_DPE","Annee_DPE","Classe_DPE","Conso_Annuelle_kWh","Conso_Specifique_kWh_M2","Facture_Annuelle_Euros","Economie_Annuelle_Euros","Economie_Realiste_Euros","Economie_Plancher_66pct_Euros","Modele_Financement","CAPEX_Total","CAPEX_HT_Euros","Subventions_Etat_Euros","Subventions_Pessimiste_Euros","Subventions_Optimiste_Euros","Subventions_Fourchette_Label","CEE_Euros","Part_Fonds_Euros","Part_Fonds_Pessimiste_Euros","Part_Fonds_Optimiste_Euros","Pack_CAPEX_Total","Pack_Gain_Net_Pessimiste_Total","Financement_Statut","Statut_Projet_EPCI","Package_ID","Argumentaire_Loi_ELAN","Argumentaire_MGPE_PD","MGPE_Loyer_Lt_Euros","MGPE_Redevance_Ft_Euros","MGPE_Part_Services_St_Euros","MGPE_Duree_Contrat_Ans","Gain_Net_Contractuel_Euros","Gain_Net_Annuel_Mairie_Euros","Gain_Net_Pessimiste_Euros","Gain_Net_Optimiste_Euros","Gain_Net_Fourchette_Label","Gain_Net_Plancher_66pct_Euros","Fonds_ROI_Annees","Fonds_ROI_Pessimiste_Annees","Fonds_ROI_Optimiste_Annees","Fonds_ROI_Fourchette_Label","Taux_Subvention_Pessimiste_Pct","Taux_Eco_Realiste_Pessimiste_Pct","Ratio_PAC_W_M2","Alerte_Surdimensionnement","Alerte_Surdimensionnement_Note","Score_Eligibilite_Closing","Closing_Temperature","Alerte_Financement","Email_Mairie","Artisan_Nom","Artisan_Distance_KM","Artisan_Email","Artisan_Tranche_Effectif","Artisan_Effectif_Label","Artisan_Effectif_Min","Type_Travaux","Puissance_PAC_kW","Ouvriers_Requis","Duree_Estimee_Semaines","Periode_Ideale_Chantier","Latitude","Longitude"
"0631023V","63014","246300701","246300701","Ecole maternelle Beaudonnat","Enseignement","ETAT","MINISTERE DE L'EDUCATION NATIONALE","Aubière","2154","1967","F (350 kWh/m²/an)","2018","F","753900","350","167290","75281","52697",,"fourchette","387720","323100","193860","193860","258480","193 860 € à 258 480 €","1861","191999","191999","127379","2196780","97966","FINANÇABLE_SOLO","PROJET_GLOBAL_VALIDE","SOLO","En tant que propriétaire du groupe scolaire Ecole maternelle Beaudonnat, votre collectivité est soumise aux obligations de l'article L. 111-10-3 du Code de la construction et de l'habitation (loi ELAN) et au Décret Tertiaire (objectif −40 % en 2030 pour les bâtiments ≥ 1 000 m²). Sans action d'ici 2030, le bâtiment de 2154 m² s'expose aux sanctions administratives et au dispositif de « Name & Shame ». Le montage MGPE-PD (Loi 2023-222) permet un paiement différé lissé sur la performance réelle, compatible avec DETR, DSIL et Fonds Vert ÉduRénov.","Pour Aubière (63), le montage MGPE-PD (Loi n° 2023-222 du 30 mars 2023 / Décret n° 2023-913 du 3 octobre 2023) permet de lancer la rénovation de 1 école (2154 m²) sans immobiliser la capacité d'autofinancement : le tiers-financeur porte le CAPEX hors subventions, remboursé par un loyer lissé sur 12 ans (ordre de grandeur 30 151 €/an). Objectif GPE : −45 % d'énergie finale (compatible DETR ≥ 30 % et Fonds Vert ≥ 40 %). La maîtrise d'ouvrage reste publique ; le contrat intègre PMRV (IPMVP), pénalités de sous-performance et réversibilité des équipements. Subventions attendues (fourchette) : 193 860 € à 258 480 €. Gain net annuel mairie (fourchette) : 20 727 € à 33 195 €/an. ROI part fonds (fourchette) : 3.8 à 9.3 ans.","31970","22277","9693","12","43311","20727","20727","33195","20 727 € à 33 195 €/an","17715","9.3","9.3","3.8","3.8 à 9.3 ans","50","70","79.9","true","PAC surdimensionnée pour bâtiment isolé (ITE) : 79.9 W/m² > 60 W/m² — revoir la note de dimensionnement CVC et le débit nominal","88","🔥 Chaud","PAC surdimensionnée pour bâtiment isolé (ITE) : 79.9 W/m² > 60 W/m² — revoir la note de dimensionnement CVC et le débit nominal","mairie.aubiere@ville-aubiere.fr","SAS MAGNE ROBERT","6.4","contact@magne-fr.eu","12","20 à 49 salariés","20","Rénovation Lourde","172","12","8","Été 2026 + Automne 2026","45.757894467592656","3.115589935964821"
"0631405K","63001","200071199","200071199","Ecole élémentaire Les Jacquemarts","Enseignement","ETAT","MINISTERE DE L'EDUCATION NATIONALE","Aigueperse","3675","1900","G (220 kWh/m²/an)","2019","G","808500","220","179406","80733","56513",,"fourchette","661500","551250","441000","441000","441000","441 000 € à 441 000 €","3175","217325","217325","217325","661500","14759","PACK_FINANÇABLE_EPCI","SOUS_SEUIL_A_CREUSER","EPCI-200071199","En tant que propriétaire du groupe scolaire Ecole élémentaire Les Jacquemarts, votre collectivité est soumise aux obligations de l'article L. 111-10-3 du Code de la construction et de l'habitation (loi ELAN) et au Décret Tertiaire (objectif −40 % en 2030 pour les bâtiments ≥ 1 000 m²). Sans action d'ici 2030, le bâtiment de 3675 m² s'expose aux sanctions administratives et au dispositif de « Name & Shame ». Le montage MGPE-PD (Loi 2023-222) permet un paiement différé lissé sur la performance réelle, compatible avec DETR, DSIL et Fonds Vert ÉduRénov.","Pour Aigueperse (63), le montage MGPE-PD (Loi n° 2023-222 du 30 mars 2023 / Décret n° 2023-913 du 3 octobre 2023) permet de lancer la rénovation de 1 école (3675 m²) sans immobiliser la capacité d'autofinancement : le tiers-financeur porte le CAPEX hors subventions, remboursé par un loyer lissé sur 12 ans (ordre de grandeur 39 694 €/an). Objectif GPE : −45 % d'énergie finale (compatible DETR ≥ 30 % et Fonds Vert ≥ 40 %). La maîtrise d'ouvrage reste publique ; le contrat intègre PMRV (IPMVP), pénalités de sous-performance et réversibilité des équipements. Subventions attendues (fourchette) : 441 000 € à 441 000 €. Gain net annuel mairie (fourchette) : 14 759 € à 20 856 €/an. ROI part fonds (fourchette) : 10.4 à 14.7 ans.","41754","25216","16538","12","38979","14759","14759","20856","14 759 € à 20 856 €/an","11530","14.7","14.7","10.4","10.4 à 14.7 ans","66.7","70","80","true","PAC surdimensionnée pour bâtiment isolé (ITE) : 80 W/m² > 60 W/m² — revoir la note de dimensionnement CVC et le débit nominal","72","⚡ Tiède","PAC surdimensionnée pour bâtiment isolé (ITE) : 80 W/m² > 60 W/m² — revoir la note de dimensionnement CVC et le débit nominal","administration.generale@aigueperse.fr","EURL MACHADO FILS","21.6","contact@machadofils.fr","12","20 à 49 salariés","20","Rénovation Lourde","294","24","7","Été 2026 + Automne 2026","46.025010606961956","3.2021195302623155"
"0631443B","63063","246300701","246300701","Ecole élémentaire Jules Ferry","Enseignement","ETAT","MINISTERE DE L'EDUCATION NATIONALE","Cébazat","1301","1951","F (220 kWh/m²/an)","2015","F","286220","220","63512","28580","20006",,"fourchette","234180","195150","117090","117090","156120","117 090 € à 156 120 €","1124","115966","115966","76936","2196780","97966","PACK_FINANÇABLE_EPCI","PROJET_GLOBAL_VALIDE","EPCI-246300701","En tant que propriétaire du groupe scolaire Ecole élémentaire Jules Ferry, votre collectivité est soumise aux obligations de l'article L. 111-10-3 du Code de la construction et de l'habitation (loi ELAN) et au Décret Tertiaire (objectif −40 % en 2030 pour les bâtiments ≥ 1 000 m²). Sans action d'ici 2030, le bâtiment de 1301 m² s'expose aux sanctions administratives et au dispositif de « Name & Shame ». Le montage MGPE-PD (Loi 2023-222) permet un paiement différé lissé sur la performance réelle, compatible avec DETR, DSIL et Fonds Vert ÉduRénov.","Pour Cébazat (63), le montage MGPE-PD (Loi n° 2023-222 du 30 mars 2023 / Décret n° 2023-913 du 3 octobre 2023) permet de lancer la rénovation de 1 école (1301 m²) sans immobiliser la capacité d'autofinancement : le tiers-financeur porte le CAPEX hors subventions, remboursé par un loyer lissé sur 12 ans (ordre de grandeur 18 211 €/an). Objectif GPE : −45 % d'énergie finale (compatible DETR ≥ 30 % et Fonds Vert ≥ 40 %). La maîtrise d'ouvrage reste publique ; le contrat intègre PMRV (IPMVP), pénalités de sous-performance et réversibilité des équipements. Subventions attendues (fourchette) : 117 090 € à 156 120 €. Gain net annuel mairie (fourchette) : 696 € à 7 382 €/an. ROI part fonds (fourchette) : 10.4 à 166.6 ans.","19310","13455","5855","12","9270","696","696","7382","696 € à 7 382 €/an","-447","166.6","166.6","10.4","10.4 à 166.6 ans","50","70","79.9","true","PAC surdimensionnée pour bâtiment isolé (ITE) : 79.9 W/m² > 60 W/m² — revoir la note de dimensionnement CVC et le débit nominal","69","⚡ Tiède","Risque sous-performance IPMVP : gain net mairie ≤ 0 au plancher 66 % (vérifier Lt et objectifs GPE) | PAC surdimensionnée pour bâtiment isolé (ITE) : 79.9 W/m² > 60 W/m² — revoir la note de dimensionnement CVC et le débit nominal","contact@cebazat.fr","EURL MACHADO FILS","1.9","contact@machadofils.fr","12","20 à 49 salariés","20","Rénovation Lourde","104","6","9","Été 2026 + Automne 2026","45.827107192846945","3.1004198061785355"
"0630382Y","63125","200070712","200070712","Ecole maternelle","Enseignement","ETAT","MINISTERE DE L'EDUCATION NATIONALE","Courpière","1013","1973","F (220 kWh/m²/an)","2020","F","222860","220","49453","22254","15578",,"fourchette","182340","151950","91170","91170","121560","91 170 € à 121 560 €","875","90295","90295","59905","734400","431","PACK_FINANÇABLE_EPCI","SOUS_SEUIL_A_CREUSER","EPCI-200070712","En tant que propriétaire du groupe scolaire Ecole maternelle, votre collectivité est soumise aux obligations de l'article L. 111-10-3 du Code de la construction et de l'habitation (loi ELAN) et au Décret Tertiaire (objectif −40 % en 2030 pour les bâtiments ≥ 1 000 m²). Sans action d'ici 2030, le bâtiment de 1013 m² s'expose aux sanctions administratives et au dispositif de « Name & Shame ». Le montage MGPE-PD (Loi 2023-222) permet un paiement différé lissé sur la performance réelle, compatible avec DETR, DSIL et Fonds Vert ÉduRénov.","Pour Courpière (63), le montage MGPE-PD (Loi n° 2023-222 du 30 mars 2023 / Décret n° 2023-913 du 3 octobre 2023) permet de lancer la rénovation de 1 école (1013 m²) sans immobiliser la capacité d'autofinancement : le tiers-financeur porte le CAPEX hors subventions, remboursé par un loyer lissé sur 12 ans (ordre de grandeur 14 180 €/an). Objectif GPE : −45 % d'énergie finale (compatible DETR ≥ 30 % et Fonds Vert ≥ 40 %). La maîtrise d'ouvrage reste publique ; le contrat intègre PMRV (IPMVP), pénalités de sous-performance et réversibilité des équipements. Subventions attendues (fourchette) : 91 170 € à 121 560 €. Gain net annuel mairie (fourchette) : 542 € à 5 749 €/an. ROI part fonds (fourchette) : 10.4 à 166.6 ans.","15036","10477","4559","12","7218","542","542","5749","542 € à 5 749 €/an","-348","166.6","166.6","10.4","10.4 à 166.6 ans","50","70","80","true","PAC surdimensionnée pour bâtiment isolé (ITE) : 80 W/m² > 60 W/m² — revoir la note de dimensionnement CVC et le débit nominal","56","⚡ Tiède","Risque sous-performance IPMVP : gain net mairie ≤ 0 au plancher 66 % (vérifier Lt et objectifs GPE) | PAC surdimensionnée pour bâtiment isolé (ITE) : 80 W/m² > 60 W/m² — revoir la note de dimensionnement CVC et le débit nominal","mairie@ville-courpiere.fr","ACH AUVERGNE CENTRE HABITAT","24.3","ach63groupelecarre@gmail.com","12","20 à 49 salariés","20","Rénovation Lourde","81","6","7","Été 2026 + Automne 2026","45.75784927060768","3.5355904209906606"
"0631256Y","63284","246300701","246300701","Ecole maternelle Lucie Aubrac","Enseignement","ETAT","MINISTERE DE L'EDUCATION NATIONALE","Pont-du-Château","1596","1983","E (271 kWh/m²/an)","2016","E","432580","271.04","95990","43196","23758",,"fourchette","191520","159600","86184","86184","127680","86 184 € à 127 680 €","843","104493","104493","62997","2196780","97966","PACK_FINANÇABLE_EPCI","PROJET_GLOBAL_VALIDE","EPCI-246300701","En tant que propriétaire du groupe scolaire Ecole maternelle Lucie Aubrac, votre collectivité est soumise aux obligations de l'article L. 111-10-3 du Code de la construction et de l'habitation (loi ELAN) et au Décret Tertiaire (objectif −40 % en 2030 pour les bâtiments ≥ 1 000 m²). Sans action d'ici 2030, le bâtiment de 1596 m² s'expose aux sanctions administratives et au dispositif de « Name & Shame ». Le montage MGPE-PD (Loi 2023-222) permet un paiement différé lissé sur la performance réelle, compatible avec DETR, DSIL et Fonds Vert ÉduRénov.","Pour Pont-du-Château (63), le montage MGPE-PD (Loi n° 2023-222 du 30 mars 2023 / Décret n° 2023-913 du 3 octobre 2023) permet de lancer la rénovation de 1 école (1596 m²) sans immobiliser la capacité d'autofinancement : le tiers-financeur porte le CAPEX hors subventions, remboursé par un loyer lissé sur 12 ans (ordre de grandeur 15 922 €/an). Objectif GPE : −45 % d'énergie finale (compatible DETR ≥ 30 % et Fonds Vert ≥ 40 %). La maîtrise d'ouvrage reste publique ; le contrat intègre PMRV (IPMVP), pénalités de sous-performance et réversibilité des équipements. Subventions attendues (fourchette) : 86 184 € à 127 680 €. Gain net annuel mairie (fourchette) : 6 846 € à 20 897 €/an. ROI part fonds (fourchette) : 3 à 15.3 ans.","16912","12124","4788","12","26284","6846","6846","20897","6 846 € à 20 897 €/an","11597","15.3","15.3","3","3 à 15.3 ans","45","55","80.2","false",,"69","⚡ Tiède",,"mairie@pontduchateau.fr","ACH AUVERGNE CENTRE HABITAT","2.2","ach63groupelecarre@gmail.com","12","20 à 49 salariés","20","Rénovation Moyenne","128","6","8","Été 2026 + Automne 2026","45.80362111761966","3.245324373395556"
"0631529V","63276","246301097","246301097","Ecole maternelle Joseph Gabriel Lacour","Enseignement","ETAT","MINISTERE DE L'EDUCATION NATIONALE","Peschadoires","3485","1950","D (175 kWh/m²/an)","2020","D","609108","174.78","135161","60822","42575",,"fourchette","627300","522750","407745","407745","418200","407 745 € à 418 200 €","3011","216544","216544","206089","627300","1767","PACK_FINANÇABLE_EPCI","SOUS_SEUIL_A_CREUSER","EPCI-246301097","En tant que propriétaire du groupe scolaire Ecole maternelle Joseph Gabriel Lacour, votre collectivité est soumise aux obligations de l'article L. 111-10-3 du Code de la construction et de l'habitation (loi ELAN) et au Décret Tertiaire (objectif −40 % en 2030 pour les bâtiments ≥ 1 000 m²). Sans action d'ici 2030, le bâtiment de 3485 m² s'expose aux sanctions administratives et au dispositif de « Name & Shame ». Le montage MGPE-PD (Loi 2023-222) permet un paiement différé lissé sur la performance réelle, compatible avec DETR, DSIL et Fonds Vert ÉduRénov.","Pour Peschadoires (63), le montage MGPE-PD (Loi n° 2023-222 du 30 mars 2023 / Décret n° 2023-913 du 3 octobre 2023) permet de lancer la rénovation de 1 école (3485 m²) sans immobiliser la capacité d'autofinancement : le tiers-financeur porte le CAPEX hors subventions, remboursé par un loyer lissé sur 12 ans (ordre de grandeur 38 756 €/an). Objectif GPE : −45 % d'énergie finale (compatible DETR ≥ 30 % et Fonds Vert ≥ 40 %). La maîtrise d'ouvrage reste publique ; le contrat intègre PMRV (IPMVP), pénalités de sous-performance et réversibilité des équipements. Subventions attendues (fourchette) : 407 745 € à 418 200 €. Gain net annuel mairie (fourchette) : 1 767 € à 7 975 €/an. ROI part fonds (fourchette) : 25.8 à 122.5 ans.","40808","25125","15683","12","20014","1767","1767","7975","1 767 € à 7 975 €/an","-665","122.5","122.5","25.8","25.8 à 122.5 ans","65","70","80.1","true","PAC surdimensionnée pour bâtiment isolé (ITE) : 80.1 W/m² > 60 W/m² — revoir la note de dimensionnement CVC et le débit nominal","47","❄ Froid","Risque sous-performance IPMVP : gain net mairie ≤ 0 au plancher 66 % (vérifier Lt et objectifs GPE) | PAC surdimensionnée pour bâtiment isolé (ITE) : 80.1 W/m² > 60 W/m² — revoir la note de dimensionnement CVC et le débit nominal","mairie@peschadoires63.fr","ACH AUVERGNE CENTRE HABITAT","21.7","ach63groupelecarre@gmail.com","12","20 à 49 salariés","20","Rénovation Lourde","279","12","12","Été 2026 + Automne 2026","45.8371969074125","3.4971683250332077"
"0630855M","63430","200070712","200070712","Ecole primaire George Sand","Enseignement","ETAT","MINISTERE DE L'EDUCATION NATIONALE","Thiers","3067","1973","D (227 kWh/m²/an)","2020","D","695504","226.77","154332","69449","48614",,"fourchette","552060","460050","248427","248427","368040","248 427 € à 368 040 €","2650","300983","300983","181370","734400","431","PACK_FINANÇABLE_EPCI","SOUS_SEUIL_A_CREUSER","EPCI-200070712","En tant que propriétaire du groupe scolaire Ecole primaire George Sand, votre collectivité est soumise aux obligations de l'article L. 111-10-3 du Code de la construction et de l'habitation (loi ELAN) et au Décret Tertiaire (objectif −40 % en 2030 pour les bâtiments ≥ 1 000 m²). Sans action d'ici 2030, le bâtiment de 3067 m² s'expose aux sanctions administratives et au dispositif de « Name & Shame ». Le montage MGPE-PD (Loi 2023-222) permet un paiement différé lissé sur la performance réelle, compatible avec DETR, DSIL et Fonds Vert ÉduRénov.","Pour Thiers (63), le montage MGPE-PD (Loi n° 2023-222 du 30 mars 2023 / Décret n° 2023-913 du 3 octobre 2023) permet de lancer la rénovation de 1 école (3067 m²) sans immobiliser la capacité d'autofinancement : le tiers-financeur porte le CAPEX hors subventions, remboursé par un loyer lissé sur 12 ans (ordre de grandeur 45 872 €/an). Objectif GPE : −45 % d'énergie finale (compatible DETR ≥ 30 % et Fonds Vert ≥ 40 %). La maîtrise d'ouvrage reste publique ; le contrat intègre PMRV (IPMVP), pénalités de sous-performance et réversibilité des équipements. Subventions attendues (fourchette) : 248 427 € à 368 040 €. Gain net annuel mairie (fourchette) : -111 € à 18 960 €/an. ROI part fonds (fourchette) : — à 9.6 ans.","48725","34923","13802","12","20724","-111","-111","18960","-111 € à 18 960 €/an","-2889",,,"9.6","— à 9.6 ans","45","70","79.9","true","PAC surdimensionnée pour bâtiment isolé (ITE) : 79.9 W/m² > 60 W/m² — revoir la note de dimensionnement CVC et le débit nominal","39","❄ Froid","Risque sous-performance IPMVP : gain net mairie ≤ 0 au plancher 66 % (vérifier Lt et objectifs GPE) | PAC surdimensionnée pour bâtiment isolé (ITE) : 79.9 W/m² > 60 W/m² — revoir la note de dimensionnement CVC et le débit nominal","urbanisme@thiers.fr;contact@thiers.fr","ACH AUVERGNE CENTRE HABITAT","26.1","ach63groupelecarre@gmail.com","12","20 à 49 salariés","20","Rénovation Lourde","245","12","11","Été 2026 + Automne 2026","45.85515983296092","3.5490101005826697"
"0631664S","63164","246300701","246300701","Ecole élémentaire Jean Jaurès","Enseignement","ETAT","MINISTERE DE L'EDUCATION NATIONALE","Gerzat","3485","0","D (213 kWh/m²/an)","2021","D","743072","213.22","164888","74200","40810",,"fourchette","418200","348500","188190","188190","278800","188 190 € à 278 800 €","1840","228170","228170","137560","2196780","97966","PACK_FINANÇABLE_EPCI","PROJET_GLOBAL_VALIDE","EPCI-246300701","En tant que propriétaire du groupe scolaire Ecole élémentaire Jean Jaurès, votre collectivité est soumise aux obligations de l'article L. 111-10-3 du Code de la construction et de l'habitation (loi ELAN) et au Décret Tertiaire (objectif −40 % en 2030 pour les bâtiments ≥ 1 000 m²). Sans action d'ici 2030, le bâtiment de 3485 m² s'expose aux sanctions administratives et au dispositif de « Name & Shame ». Le montage MGPE-PD (Loi 2023-222) permet un paiement différé lissé sur la performance réelle, compatible avec DETR, DSIL et Fonds Vert ÉduRénov.","Pour Gerzat (63), le montage MGPE-PD (Loi n° 2023-222 du 30 mars 2023 / Décret n° 2023-913 du 3 octobre 2023) permet de lancer la rénovation de 1 école (3485 m²) sans immobiliser la capacité d'autofinancement : le tiers-financeur porte le CAPEX hors subventions, remboursé par un loyer lissé sur 12 ans (ordre de grandeur 34 767 €/an). Objectif GPE : −45 % d'énergie finale (compatible DETR ≥ 30 % et Fonds Vert ≥ 40 %). La maîtrise d'ouvrage reste publique ; le contrat intègre PMRV (IPMVP), pénalités de sous-performance et réversibilité des équipements. Subventions attendues (fourchette) : 188 190 € à 278 800 €. Gain net annuel mairie (fourchette) : 3 881 € à 30 538 €/an. ROI part fonds (fourchette) : 4.5 à 58.8 ans.","36929","26474","10455","12","37271","3881","3881","30538","3 881 € à 30 538 €/an","12043","58.8","58.8","4.5","4.5 à 58.8 ans","45","55","80.1","false",,"60","⚡ Tiède",,"gerzat@ville-gerzat.fr","EURL MACHADO FILS","2.6","contact@machadofils.fr","12","20 à 49 salariés","20","Rénovation Moyenne","279","12","8","Été 2026 + Automne 2026","45.83088484827118","3.1471697897603184"
"0631421C","63103","200070753","200070753","Ecole primaire Pierre Ravel","Enseignement","ETAT","MINISTERE DE L'EDUCATION NATIONALE","Châtel-Guyon","3869","0","G (220 kWh/m²/an)","2015","G","851180","220","188877","84995","46747",,"fourchette","464280","386900","232140","232140","309520","232 140 € à 309 520 €","2043","230097","230097","152717","464280","8442","PACK_FINANÇABLE_EPCI","SOUS_SEUIL_A_CREUSER","EPCI-200070753","En tant que propriétaire du groupe scolaire Ecole primaire Pierre Ravel, votre collectivité est soumise aux obligations de l'article L. 111-10-3 du Code de la construction et de l'habitation (loi ELAN) et au Décret Tertiaire (objectif −40 % en 2030 pour les bâtiments ≥ 1 000 m²). Sans action d'ici 2030, le bâtiment de 3869 m² s'expose aux sanctions administratives et au dispositif de « Name & Shame ». Le montage MGPE-PD (Loi 2023-222) permet un paiement différé lissé sur la performance réelle, compatible avec DETR, DSIL et Fonds Vert ÉduRénov.","Pour Châtel-Guyon (63), le montage MGPE-PD (Loi n° 2023-222 du 30 mars 2023 / Décret n° 2023-913 du 3 octobre 2023) permet de lancer la rénovation de 1 école (3869 m²) sans immobiliser la capacité d'autofinancement : le tiers-financeur porte le CAPEX hors subventions, remboursé par un loyer lissé sur 12 ans (ordre de grandeur 36 124 €/an). Objectif GPE : −45 % d'énergie finale (compatible DETR ≥ 30 % et Fonds Vert ≥ 40 %). La maîtrise d'ouvrage reste publique ; le contrat intègre PMRV (IPMVP), pénalités de sous-performance et réversibilité des équipements. Subventions attendues (fourchette) : 232 140 € à 309 520 €. Gain net annuel mairie (fourchette) : 8 442 € à 35 867 €/an. ROI part fonds (fourchette) : 4.3 à 27.3 ans.","38305","26698","11607","12","46690","8442","8442","35867","8 442 € à 35 867 €/an","17792","27.3","27.3","4.3","4.3 à 27.3 ans","50","55","80.1","false",,"74","⚡ Tiède",,"mairie@chatel-guyon.fr","EURL MACHADO FILS","9.6","contact@machadofils.fr","12","20 à 49 salariés","20","Rénovation Moyenne","310","24","5","Été 2026 + Automne 2026","45.920790225992135","3.0744500287188363"
"0630887X","63455","200069177","200069177","Ecole élémentaire Jean Moulin","Enseignement","ETAT","MINISTERE DE L'EDUCATION NATIONALE","Veyre-Monton","1708","0","F (220 kWh/m²/an)","2016","F","375760","220","83381","37521","20637",,"fourchette","204960","170800","102480","102480","136640","102 480 € à 136 640 €","902","101578","101578","67418","204960","3727","PACK_FINANÇABLE_EPCI","SOUS_SEUIL_A_CREUSER","EPCI-200069177","En tant que propriétaire du groupe scolaire Ecole élémentaire Jean Moulin, votre collectivité est soumise aux obligations de l'article L. 111-10-3 du Code de la construction et de l'habitation (loi ELAN) et au Décret Tertiaire (objectif −40 % en 2030 pour les bâtiments ≥ 1 000 m²). Sans action d'ici 2030, le bâtiment de 1708 m² s'expose aux sanctions administratives et au dispositif de « Name & Shame ». Le montage MGPE-PD (Loi 2023-222) permet un paiement différé lissé sur la performance réelle, compatible avec DETR, DSIL et Fonds Vert ÉduRénov.","Pour Veyre-Monton (63), le montage MGPE-PD (Loi n° 2023-222 du 30 mars 2023 / Décret n° 2023-913 du 3 octobre 2023) permet de lancer la rénovation de 1 école (1708 m²) sans immobiliser la capacité d'autofinancement : le tiers-financeur porte le CAPEX hors subventions, remboursé par un loyer lissé sur 12 ans (ordre de grandeur 15 947 €/an). Objectif GPE : −45 % d'énergie finale (compatible DETR ≥ 30 % et Fonds Vert ≥ 40 %). La maîtrise d'ouvrage reste publique ; le contrat intègre PMRV (IPMVP), pénalités de sous-performance et réversibilité des équipements. Subventions attendues (fourchette) : 102 480 € à 136 640 €. Gain net annuel mairie (fourchette) : 3 727 € à 15 833 €/an. ROI part fonds (fourchette) : 4.3 à 27.3 ans.","16910","11786","5124","12","20611","3727","3727","15833","3 727 € à 15 833 €/an","7854","27.3","27.3","4.3","4.3 à 27.3 ans","50","55","80.2","false",,"68","⚡ Tiède",,"contact@mairie-veyremonton.com","SAS DEGUY","11.9","sas.deguy@wanadoo.fr","12","20 à 49 salariés","20","Rénovation Moyenne","137","6","8","Été 2026 + Automne 2026","45.67393245540424","3.1620997082264726"
